number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.c_max	model.c_min	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501
0	TrialState.COMPLETE	0.010778151558073655	2020-01-14 13:11:21.269596	2020-01-14 13:43:37.130104	2.708944520526962	4.535426442929214	0.030363222025919148	50.0	1.0	0.040589760604459915	1000.0	0.7520329514360405	0.0016156161473087818	0.010778151558073655	0.004891111898016997	0.006528859773371105	15244.252965651558	0.005049709054042144	0.0016156161473087818	0.010778151558073655	0.004891111898016997	0.006528859773371105	15244.24185552408	0.005049710364157262	0.0016156161473087818	0.010778151558073655	0.004891111898016997	0.006528859773371105	15244.264075779036	0.005049707747608709	0					0.009413361661945232	0.010193241602590044				
1	TrialState.COMPLETE	0.012671995143666532	2020-01-14 13:43:37.132841	2020-01-14 14:16:27.803666	4.362068601160207	6.299750210566054	0.03858001434771268	150.0	41.0	0.054167501892302565	1900.0	0.7334171510997999	0.002630513961958721	0.012671995143666532	0.006222177256171591	0.008245649534601376	14866.727286523676	0.006667527159677427	0.002630513961958721	0.012671995143666532	0.006222177256171591	0.008245649534601376	14866.710997571834	0.0066675326316522985	0.002630513961958721	0.012671995143666532	0.006222177256171591	0.008245649534601376	14866.743575475515	0.0066675217763255525	1				0.01165014164305949	0.012246222851746931					
2	TrialState.COMPLETE	0.012376062322946175	2020-01-14 14:16:27.805940	2020-01-14 15:07:55.316619	4.359829476560841	1.5966756998306975	0.012283400889673392	150.0	41.0	0.005999412800974267	500.0	0.8493196304560735	0.001593484419263456	0.012376062322946175	0.004674220963172804	0.007170679886685552	17217.727434490083	0.005148003238058896	0.001593484419263456	0.012376062322946175	0.004674220963172804	0.007170679886685552	17217.71147308782	0.005148007265549868	0.001593484419263456	0.012376062322946175	0.004674220963172804	0.007170679886685552	17217.74339589235	0.005147999258159027	2							0.010733888101983002	0.01164620711362921		
3	TrialState.COMPLETE	0.0001327903682719547	2020-01-14 15:07:55.322844	2020-01-14 15:26:44.291756	5.374448900927618	3.5164558889855453	0.016247910874297763	350.0	6.0	0.0019344969337198859	1900.0	0.9506638906970832	0.0	0.0001327903682719547	0.0	0.0	19272.937522131728	0.0002317981057921025	0.0	0.0001327903682719547	0.0	0.0	19272.925106232295	0.00023179833156127788	0.0	0.0001327903682719547	0.0	0.0	19272.94993803116	0.00023179788014843436	3	8.852691218130312e-05	0.00011803588290840416								
4	TrialState.COMPLETE	0.012064953460137596	2020-01-14 15:26:44.294370	2020-01-14 15:58:50.490603	7.449564984973929	6.359895462337112	0.015597109610562793	150.0	6.0	0.05763371654234137	1400.0	0.6959094010165255	0.001264670174018616	0.012064953460137596	0.0045275192229866455	0.006626871711857547	14105.884522966411	0.005222387042376351	0.001264670174018616	0.012064953460137596	0.0045275192229866455	0.006626871711857547	14105.86925839741	0.005222388100756821	0.001264670174018616	0.012064953460137596	0.0045275192229866455	0.006626871711857547	14105.89978753541	0.005222385985976232	4				0.011508498583569405	0.011833097261567517					
5	TrialState.COMPLETE	0.018590651558073653	2020-01-14 15:58:50.496669	2020-01-14 16:45:52.812193	8.316114886510789	5.970277293406198	0.08181505254522237	250.0	21.0	0.03966126473319418	1200.0	0.6844578595783256	0.0023680949008498585	0.018590651558073653	0.006506728045325779	0.011176522662889519	13874.074019564448	0.008001851875250513	0.0023680949008498585	0.018590651558073653	0.006506728045325779	0.011176522662889519	13874.055240793201	0.008001853360458966	0.0023680949008498585	0.018590651558073653	0.006506728045325779	0.011176522662889519	13874.092798335694	0.008001850393354947	5					0.017174220963172806	0.01798360987454472				
6	TrialState.COMPLETE	0.006728045325779037	2020-01-14 16:45:52.819448	2020-01-14 17:33:58.557601	5.772427018422841	6.605529166842669	0.016337622140080797	450.0	1.0	0.022493786585616297	1800.0	0.7291114267275195	0.0008852691218130312	0.006728045325779037	0.0024028733306353705	0.003566369890732497	14779.602868271955	0.003181191137833719	0.0008852691218130312	0.006728045325779037	0.0024028733306353705	0.003566369890732497	14779.580407729663	0.00318121929535179	0.0008852691218130312	0.006728045325779037	0.0024028733306353705	0.003566369890732497	14779.625328814245	0.003181164104398424	6				0.005524079320113315	0.0062263928234183195					
7	TrialState.COMPLETE	0.0001327903682719547	2020-01-14 17:33:58.568938	2020-01-14 17:53:16.909612	9.22261993066669	7.613828162991471	0.08813498824447122	350.0	21.0	0.003630418597779034	1600.0	0.9470242961493457	0.0	0.0001327903682719547	0.0	0.0	19198.99794174929	0.0002543224617113805	0.0	0.0001327903682719547	0.0	0.0	19198.98446352691	0.00025432263572048604	0.0	0.0001327903682719547	0.0	0.0	19199.01141997167	0.00025432228776882366	7	8.852691218130312e-05	0.00011803588290840416								
8	TrialState.COMPLETE	0.0002213172804532578	2020-01-14 17:53:16.924634	2020-01-14 18:06:09.050138	6.186916543885295	7.008022110811927	0.020478252239453317	50.0	11.0	0.0038993450343491067	2000.0	0.9479079019543415	0.0	0.0002213172804532578	0.0	4.426345609065156e-05	19216.892816041076	0.0003202187601412145	0.0	0.0002213172804532578	0.0	4.426345609065156e-05	19216.88575601983	0.00032021884800940997	0.0	0.0002213172804532578	0.0	4.426345609065156e-05	19216.89987606232	0.0003202186723002434	8	0.0002655807365439094	0.00023607176581680832								
