number	value	datetime_start	datetime_complete	params_loss.margin	params_model.c_max	params_model.c_min	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.31126062322946174	2020-04-25 19:28:06.349516	2020-04-25 20:07:23.492610	3.641009453959307	2.215225843610431	0.04927416976199671	128	11	0.04697588177422741	256	0.37237237240257404	0.14394475920679886	0.31126062322946174	0.2237960339943343	0.25743626062322944	7548.231232294617	0.2001722474469002	0.14394475920679886	0.31126062322946174	0.2237960339943343	0.25743626062322944	7548.225389518414	0.2001722486335274	1539602108	250	0.14394475920679886	0.31126062322946174	0.2237960339943343	0.25743626062322944	7548.237075070821	0.20017224626197064	0	COMPLETE
1	0.4054532577903683	2020-04-25 20:07:23.538459	2020-04-25 21:17:26.074101	6.40872000698513	6.054320343371493	0.09083179079782798	128	88	0.00717401368482125	128	0.41958963564939966	0.2103399433427762	0.4054532577903683	0.35570113314447593	0.38119688385269124	8504.619422804533	0.2886467641199191	0.2103399433427762	0.4054532577903683	0.35570113314447593	0.38119688385269124	8504.613668555241	0.28864676487507174	3344351419	200	0.2103399433427762	0.4054532577903683	0.35570113314447593	0.38119688385269124	8504.625177053824	0.288646763366129	1	COMPLETE
2	0.38243626062322944	2020-04-25 21:17:26.119065	2020-04-25 23:34:29.522320	9.011306631836256	8.86611619203459	0.034181365150160785	64	87	0.028587108080338697	128	0.3938737667251683	0.1278328611898017	0.38243626062322944	0.25743626062322944	0.3160410764872521	7983.3248052407935	0.21218119679088668	0.1278328611898017	0.38243626062322944	0.25743626062322944	0.3160410764872521	7983.322415014164	0.21218119681251957	2807685323	350	0.1278328611898017	0.38243626062322944	0.25743626062322944	0.3160410764872521	7983.327195467422	0.21218119676925856	2	COMPLETE
3	0.38703966005665724	2020-04-25 23:34:29.556359	2020-04-26 00:21:50.664033	9.776070787844	9.812129857957093	0.08552162162112516	64	10	0.08315164406926477	256	0.3873235296340096	0.16926345609065155	0.38703966005665724	0.31126062322946174	0.34578611898017	7850.965563031162	0.2513109762514713	0.16926345609065155	0.38703966005665724	0.31126062322946174	0.34578611898017	7850.963349858357	0.2513109762982113	1250975148	300	0.16926345609065155	0.38703966005665724	0.31126062322946174	0.34578611898017	7850.967776203966	0.25131097620475534	3	COMPLETE
4	0.42847025495750707	2020-04-26 00:21:50.697085	2020-04-26 01:10:47.130926	8.317115094085045	1.753726854073867	0.06350378565562032	64	16	0.0011640651667428807	512	0.19641188063656753	0.16820113314447593	0.42847025495750707	0.3110835694050991	0.3693342776203966	3979.7710694050993	0.2585736590485165	0.16820113314447593	0.42847025495750707	0.3110835694050991	0.3693342776203966	3979.7526558073655	0.2585736635441216	976254096	500	0.16820113314447593	0.42847025495750707	0.3110835694050991	0.3693342776203966	3979.7894830028326	0.2585736545639076	4	COMPLETE
5	0.374114730878187	2020-04-26 01:10:47.181197	2020-04-26 02:37:40.780322	4.8819289146290705	6.699636457294054	0.015775193477138932	256	96	0.04181507675211655	256	0.4470188743489867	0.1705028328611898	0.374114730878187	0.2618626062322946	0.295856940509915	9060.662092776203	0.23510531914021254	0.1705028328611898	0.374114730878187	0.2618626062322946	0.295856940509915	9060.658463172804	0.23510532002457482	3861207176	350	0.1705028328611898	0.374114730878187	0.2618626062322946	0.295856940509915	9060.665722379603	0.2351053182578157	5	COMPLETE
6	0.4077549575070821	2020-04-26 02:37:40.816286	2020-04-26 05:01:29.561976	4.990458522955512	5.4093475026402835	0.06541541463233667	256	6	0.0033931451114780553	128	0.4163747815952656	0.18112606232294617	0.4077549575070821	0.3496813031161473	0.3801345609065156	8440.34454674221	0.2712175267120281	0.18112606232294617	0.4077549575070821	0.3496813031161473	0.3801345609065156	8440.330559490085	0.27121752788602616	3083271457	450	0.18112606232294617	0.4077549575070821	0.3496813031161473	0.3801345609065156	8440.358533994335	0.27121752553962014	6	COMPLETE
7	0.3580028328611898	2020-04-26 05:01:29.596963	2020-04-26 06:05:48.639480	3.248857344972462	2.242336136406644	0.012067579181134953	128	99	0.025795246776880887	256	0.40914646824158724	0.1676699716713881	0.3580028328611898	0.2623937677053824	0.29125354107648727	8292.470963172804	0.23157981425529758	0.1676699716713881	0.3580028328611898	0.2623937677053824	0.29125354107648727	8292.466182719547	0.2316024394511278	700113458	300	0.1676699716713881	0.3580028328611898	0.2623937677053824	0.29125354107648727	8292.475743626062	0.2315640744920377	7	COMPLETE
8	0.36951133144475923	2020-04-26 06:05:48.675182	2020-04-26 07:58:58.128922	0.7256625591674315	2.1893716730764776	0.05528765979533101	64	11	0.0029095301774549024	256	0.4150844733257314	0.16572237960339944	0.36951133144475923	0.2993980169971671	0.33374645892351273	8413.93873937677	0.24180782380903323	0.16572237960339944	0.36951133144475923	0.2993980169971671	0.33374645892351273	8413.931480169971	0.24180782606485302	2415863702	650	0.16572237960339944	0.36951133144475923	0.2993980169971671	0.33374645892351273	8413.94599858357	0.2418078215615247	8	COMPLETE
9	0.3889872521246459	2020-04-26 07:58:58.164387	2020-04-26 09:23:01.862289	4.278116731974621	4.074308446074734	0.06678522734109092	64	49	0.005923168919990066	128	0.4124669879924443	0.17669971671388102	0.3889872521246459	0.3218838526912181	0.35339943342776203	8360.363757082154	0.259324473967513	0.17669971671388102	0.3889872521246459	0.3218838526912181	0.35339943342776203	8360.359242209632	0.2593244740073837	788461149	250	0.17669971671388102	0.3889872521246459	0.3218838526912181	0.35339943342776203	8360.368271954674	0.25932447392764907	9	COMPLETE
