number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401
0	TrialState.COMPLETE	0.0004426345609065156	2019-12-31 22:04:50.077632	2019-12-31 22:09:00.160308	50.0	2	21.0	0.0040056689037050505	1000.0	0.9929364442870142	0.0002655807365439094	0.0004426345609065156	0.0004426345609065156	0.0004426345609065156	20130.066373052407	0.0005077151712793155	0.0002655807365439094	0.0004426345609065156	0.0004426345609065156	0.0004426345609065156	20130.05501947592	0.0005077154131563239	0.0002655807365439094	0.0004426345609065156	0.0004426345609065156	0.0004426345609065156	20130.077726628897	0.0005077149296458858	0	0.0005311614730878187	0.00047214353163361664						
1	TrialState.COMPLETE	0.0012393767705382436	2019-12-31 22:09:00.161265	2019-12-31 22:13:20.134299	150.0	2	71.0	0.02123913163625072	1300.0	1.0160533768213815	0.0003541076487252125	0.0012393767705382436	0.0005754249291784702	0.000796742209631728	20598.646556303116	0.0007789104492450743	0.0003541076487252125	0.0012393767705382436	0.0005754249291784702	0.000796742209631728	20598.614730878187	0.0007789109517370316	0.0003541076487252125	0.0012393767705382436	0.0005754249291784702	0.000796742209631728	20598.678381728045	0.0007789099470944464	1	0.0012393767705382436	0.0012393767705382436						
2	TrialState.COMPLETE	0.0010623229461756375	2019-12-31 22:13:20.135899	2019-12-31 22:18:31.973868	250.0	2	91.0	0.009572760140030752	1700.0	1.0023033610858896	0.0004426345609065156	0.0010623229461756375	0.0007524787535410764	0.0009737960339943342	20320.24402443343	0.0008350527845435685	0.0004426345609065156	0.0010623229461756375	0.0007524787535410764	0.0009737960339943342	20320.209189093486	0.000835053335343625	0.0004426345609065156	0.0010623229461756375	0.0007524787535410764	0.0009737960339943342	20320.27885977337	0.0008350522341537643	2	0.0012393767705382436	0.0011213408876298394						
3	TrialState.COMPLETE	0.0005754249291784702	2019-12-31 22:18:31.974735	2019-12-31 22:22:37.456836	50.0	2	31.0	0.002077327334769685	1000.0	0.9926834361662124	0.0003098441926345609	0.0005754249291784702	0.0004426345609065156	0.0004868980169971671	20124.79789305949	0.000598403228470886	0.0003098441926345609	0.0005754249291784702	0.0004426345609065156	0.0004868980169971671	20124.787402620397	0.0005984033593889739	0.0003098441926345609	0.0005754249291784702	0.0004426345609065156	0.0004868980169971671	20124.808383498585	0.0005984030976005804	3	0.000796742209631728	0.0006491973559962229						
4	TrialState.COMPLETE	0.0004868980169971671	2019-12-31 22:22:37.457839	2019-12-31 22:26:58.882929	150.0	2	41.0	0.010185436175137556	1800.0	1.0032998751140974	0.0003541076487252125	0.0004868980169971671	0.0004426345609065156	0.0004868980169971671	20340.354683073656	0.0005929956532823459	0.0003541076487252125	0.0004868980169971671	0.0004426345609065156	0.0004868980169971671	20340.334410410764	0.0005929959922235636	0.0003541076487252125	0.0004868980169971671	0.0004426345609065156	0.0004868980169971671	20340.374955736545	0.0005929953145725417	4	0.0006196883852691218	0.0005311614730878187						
5	TrialState.COMPLETE	0.0008410056657223796	2019-12-31 22:26:58.883894	2019-12-31 22:33:21.382224	450.0	2	21.0	0.0016093902986465689	1500.0	1.0047389826123956	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	20369.05913597734	0.0009058502643678449	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	20369.02717776204	0.0009058514293001645	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000708215297450425	20369.091094192634	0.0009058491031744186	5	0.000796742209631728	0.0008262511803588291						
6	TrialState.COMPLETE	0.0046388101983002835	2019-12-31 22:33:21.383099	2019-12-31 22:41:47.429936	450.0	1	1.0	0.0012739284447816656	500.0	0.9478519074215006	0.000708215297450425	0.0046388101983002835	0.003930594900849858	0.004284702549575071	19215.53728753541	0.002636719488839876	0.000708215297450425	0.0046388101983002835	0.003930594900849858	0.004284702549575071	19215.519334277622	0.0026367198610302615	0.000708215297450425	0.0046388101983002835	0.003930594900849858	0.004284702549575071	19215.5552407932	0.002636719116987576	6		0.003718130311614731	0.0042935552407932015					
7	TrialState.COMPLETE	0.0003098441926345609	2019-12-31 22:41:47.430954	2019-12-31 22:46:02.885705	50.0	2	61.0	0.046660548527328524	1500.0	1.0141659003588752	0.0001327903682719547	0.0003098441926345609	0.00017705382436260624	0.00017705382436260624	20560.416563385268	0.00033010258923114297	0.0001327903682719547	0.0003098441926345609	0.00017705382436260624	0.00017705382436260624	20560.3978842068	0.00033010276220416565	0.0001327903682719547	0.0003098441926345609	0.00017705382436260624	0.00017705382436260624	20560.43524256374	0.0003301024163254171	7	0.0004426345609065156	0.0003541076487252125						
8	TrialState.COMPLETE	0.000708215297450425	2019-12-31 22:46:02.886682	2019-12-31 22:50:25.612533	150.0	2	51.0	0.0891175097885342	1700.0	0.9837649179002953	0.00017705382436260624	0.000708215297450425	0.0004868980169971671	0.0004868980169971671	19943.934844192634	0.0005568922933062056	0.00017705382436260624	0.000708215297450425	0.0004868980169971671	0.0004868980169971671	19943.91045502833	0.0005568946511192488	0.00017705382436260624	0.000708215297450425	0.0004868980169971671	0.0004868980169971671	19943.95923335694	0.0005568899481412478	8	0.0008852691218130312	0.000767233238904627						
