number	value	datetime_start	datetime_complete	params_loss.adversarial_temperature	params_loss.margin	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.09550561797752809	2020-05-14 19:41:33.152584	2020-05-14 19:59:40.537538	0.1369652946268166	26.60837254549021	256	0.20562999385906133	0.38254538612405975	23	0.4576895386251895	74	0.0752150921364792	256	1.0155042044239377	0.008426966292134831	0.09550561797752809	0.02902621722846442	0.04728464419475655	48.97191011235955	0.05017209819227132	0.008426966292134831	0.09550561797752809	0.02902621722846442	0.04728464419475655	48.97191011235955	0.05017209819227132	2617832241	150	0.008426966292134831	0.09550561797752809	0.02902621722846442	0.04728464419475655	48.97191011235955	0.05017209819227132	0	COMPLETE
1	0.9588014981273408	2020-05-14 19:59:40.765370	2020-05-14 20:20:43.585460	0.31497699751543823	27.654154444359413	256	0.2836718699056206	0.34040182079893	34	0.03757062726038918	24	0.0011364784009824343	512	0.07262867114904305	0.38857677902621723	0.9588014981273408	0.7415730337078652	0.8661048689138576	3.506554307116105	0.5875176355684782	0.38857677902621723	0.9588014981273408	0.7415730337078652	0.8661048689138576	3.506554307116105	0.5875176355684782	1877198002	300	0.38857677902621723	0.9588014981273408	0.7415730337078652	0.8661048689138576	3.506554307116105	0.5875176355684782	1	COMPLETE
2	0.1404494382022472	2020-05-14 20:20:43.713389	2020-05-14 20:52:20.939020	0.27089300675850625	23.310888789218765	256	0.48620351005433843	0.14953040183418764	24	0.3150598252170849	87	0.05401574806889998	512	0.8701220517245571	0.010767790262172285	0.1404494382022472	0.037921348314606744	0.06554307116104868	41.837078651685395	0.06281720905185413	0.010767790262172285	0.1404494382022472	0.037921348314606744	0.06554307116104868	41.837078651685395	0.06281720905185413	1025788347	200	0.010767790262172285	0.1404494382022472	0.037921348314606744	0.06554307116104868	41.837078651685395	0.06281720905185413	2	COMPLETE
3	0.4002808988764045	2020-05-14 20:52:21.009466	2020-05-14 21:25:15.429688	0.3147191049003115	15.482079061311989	256	0.17062661051984018	0.295924264962232	30	0.10052381605610089	72	0.001668498912565667	128	0.4063309474738336	0.05383895131086142	0.4002808988764045	0.14840823970037453	0.23220973782771537	19.602059925093634	0.1615518588583385	0.05383895131086142	0.4002808988764045	0.14840823970037453	0.23220973782771537	19.602059925093634	0.1615518588583385	441279232	200	0.05383895131086142	0.4002808988764045	0.14840823970037453	0.23220973782771537	19.602059925093634	0.1615518588583385	3	COMPLETE
4	0.1343632958801498	2020-05-14 21:25:15.560864	2020-05-14 21:41:33.473452	0.2844315758077532	15.844068163472928	64	0.041461359969392875	0.4039463921452938	43	0.3206996588357911	70	0.005580322455670139	512	0.9107927970853302	0.013576779026217229	0.1343632958801498	0.03698501872659176	0.05852059925093633	43.83192883895131	0.06194012711512099	0.013576779026217229	0.1343632958801498	0.03698501872659176	0.05852059925093633	43.83192883895131	0.06194012711512099	1370190744	250	0.013576779026217229	0.1343632958801498	0.03698501872659176	0.05852059925093633	43.83192883895131	0.06194012711512099	4	COMPLETE
5	0.09925093632958802	2020-05-14 21:41:33.579778	2020-05-14 21:46:35.649818	0.48860576662867927	15.256584476651934	64	0.4978527452632107	0.04560942607220714	20	0.44336694485004025	22	0.05304497803396217	512	1.0005565693938567	0.012640449438202247	0.09925093632958802	0.033707865168539325	0.048220973782771535	48.235955056179776	0.05432919696282699	0.012640449438202247	0.09925093632958802	0.033707865168539325	0.048220973782771535	48.235955056179776	0.05432919696282699	297985349	250	0.012640449438202247	0.09925093632958802	0.033707865168539325	0.048220973782771535	48.235955056179776	0.05432919696282699	5	COMPLETE
6	0.12734082397003746	2020-05-14 21:46:35.761744	2020-05-14 22:05:53.307173	0.7869733200663689	12.634172541434156	256	0.28273583854635576	0.2467219460954742	55	0.2452967352965142	40	0.017987192071056316	256	0.8657145634597021	0.011235955056179775	0.12734082397003746	0.037921348314606744	0.05711610486891386	41.61189138576779	0.061594365575228543	0.011235955056179775	0.12734082397003746	0.037921348314606744	0.05711610486891386	41.61189138576779	0.061594365575228543	170410631	150	0.011235955056179775	0.12734082397003746	0.037921348314606744	0.05711610486891386	41.61189138576779	0.061594365575228543	6	COMPLETE
7	0.09269662921348315	2020-05-14 22:05:53.453334	2020-05-14 22:16:13.053911	0.9550391027828062	22.711961712509076	256	0.3987331486492541	0.34776638077019845	43	0.339187816968634	20	0.0978348933653787	128	0.9983645216840902	0.011235955056179775	0.09269662921348315	0.037921348314606744	0.052434456928838954	48.19803370786517	0.0540629054669649	0.011235955056179775	0.09269662921348315	0.037921348314606744	0.052434456928838954	48.19803370786517	0.0540629054669649	1159837663	150	0.011235955056179775	0.09269662921348315	0.037921348314606744	0.052434456928838954	48.19803370786517	0.0540629054669649	7	COMPLETE
8	0.12734082397003746	2020-05-14 22:16:13.185457	2020-05-14 23:01:37.810070	0.4732822541100531	5.4252323425517375	256	0.44977746703000415	0.3091882295931128	58	0.1146367946542231	61	0.030723669211967525	256	0.9090818206462242	0.009363295880149813	0.12734082397003746	0.040262172284644196	0.06694756554307116	43.82537453183521	0.05937735708688019	0.009363295880149813	0.12734082397003746	0.040262172284644196	0.06694756554307116	43.82537453183521	0.05937735708688019	743299588	200	0.009363295880149813	0.12734082397003746	0.040262172284644196	0.06694756554307116	43.82537453183521	0.05937735708688019	8	COMPLETE
9	0.6240636704119851	2020-05-14 23:01:37.908436	2020-05-14 23:21:48.943078	0.44372971633923697	26.049882563983886	256	0.4067842282361876	0.34112016677978263	34	0.0990584852916383	40	0.0315518120924952	512	0.23676345246837016	0.0847378277153558	0.6240636704119851	0.24859550561797752	0.3960674157303371	11.415262172284644	0.23980178325446905	0.0847378277153558	0.6240636704119851	0.24859550561797752	0.3960674157303371	11.415262172284644	0.23980178325446905	3176488803	200	0.0847378277153558	0.6240636704119851	0.24859550561797752	0.3960674157303371	11.415262172284644	0.23980178325446905	9	COMPLETE
