number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.10393258426966293	2020-04-28 02:30:07.656081	2020-04-28 02:34:49.815711	64	26	256	1.0021339034284935	0.0028089887640449437	0.10393258426966293	0.02902621722846442	0.050093632958801496	48.4190074906367	0.05000498125618607	0.03604868913857678	0.12078651685393259	0.046348314606741575	0.06320224719101124	47.05711610486891	0.07470671677087132	2197494588	250	0.0028089887640449437	0.09363295880149813	0.017322097378277154	0.035580524344569285	49.78089887640449	0.04343420713315258	0	COMPLETE
1	0.10486891385767791	2020-04-28 02:34:49.870498	2020-04-28 03:33:27.745380	256	40	512	0.9975607757864708	0.00046816479400749064	0.10486891385767791	0.02294007490636704	0.05711610486891386	48.198970037453186	0.04711875353521786	0.05758426966292135	0.1301498127340824	0.062265917602996254	0.0800561797752809	45.74250936329588	0.0924105358021057	1257186060	250	0.00046816479400749064	0.08146067415730338	0.006554307116104869	0.02762172284644195	50.655430711610485	0.03739820792336516	1	COMPLETE
2	0.10486891385767791	2020-04-28 03:33:27.771816	2020-04-28 05:04:26.616367	256	88	128	0.9902654606953598	0.00046816479400749064	0.10486891385767791	0.0299625468164794	0.05898876404494382	47.74602059925093	0.04883077400757025	0.05852059925093633	0.13202247191011235	0.062265917602996254	0.07771535580524344	45.278558052434455	0.09367076975319519	1313716717	200	0.00046816479400749064	0.08239700374531835	0.006554307116104869	0.03323970037453183	50.21348314606742	0.03855650209710317	2	COMPLETE
3	0.10018726591760299	2020-04-28 05:04:26.652476	2020-04-28 05:07:40.852390	128	20	512	1.0021912926801024	0.00046816479400749064	0.10018726591760299	0.030430711610486893	0.05898876404494382	48.363061797752806	0.04936017184477804	0.05337078651685393	0.12687265917602997	0.0599250936329588	0.07724719101123595	46.42649812734082	0.08885202615868036	2487105310	150	0.00046816479400749064	0.0847378277153558	0.011235955056179775	0.0351123595505618	50.29962546816479	0.0401147615808303	3	COMPLETE
4	0.09831460674157304	2020-04-28 05:07:40.879309	2020-04-28 06:01:41.258868	256	75	512	1.01487181699322	0.0	0.09831460674157304	0.02200374531835206	0.05383895131086142	48.90847378277154	0.04610637081668269	0.05571161048689138	0.12734082397003746	0.05805243445692884	0.07303370786516854	46.4747191011236	0.08980600834607168	144985730	150	0.0	0.07911985018726592	0.006554307116104869	0.024812734082397005	51.34222846441948	0.03648202747981347	4	COMPLETE
5	0.09644194756554307	2020-04-28 06:01:41.285548	2020-04-28 06:06:03.784434	64	43	256	1.0151246048114175	0.0018726591760299626	0.09644194756554307	0.025749063670411985	0.04728464419475655	49.00538389513109	0.04674262802356719	0.032303370786516857	0.11844569288389513	0.039794007490636704	0.05711610486891386	47.642790262172284	0.06958919375666577	2829163357	200	0.0018726591760299626	0.08426966292134831	0.013108614232209739	0.03277153558052434	50.36797752808989	0.040783898575869955	5	COMPLETE
6	0.11376404494382023	2020-04-28 06:06:03.820873	2020-04-28 06:08:38.706156	64	27	512	1.0211662997261444	0.0014044943820224719	0.11376404494382023	0.03698501872659176	0.0650749063670412	49.27715355805243	0.05208477791098115	0.05149812734082397	0.12734082397003746	0.05898876404494382	0.07818352059925093	47.881554307116104	0.08680847118749657	1135957336	200	0.0014044943820224719	0.10159176029962547	0.017790262172284643	0.0449438202247191	50.67275280898876	0.0434607898874964	6	COMPLETE
7	0.10580524344569288	2020-04-28 06:08:38.738156	2020-04-28 06:11:40.347625	64	35	512	0.9970491458347925	0.0014044943820224719	0.10580524344569288	0.024812734082397005	0.0552434456928839	48.12289325842696	0.04925698371902789	0.03277153558052434	0.12265917602996254	0.04260299625468165	0.06601123595505617	46.760299625468164	0.07211417605795542	3475710245	200	0.0014044943820224719	0.0950374531835206	0.01544943820224719	0.04073033707865169	49.48548689138577	0.0429699394835065	7	COMPLETE
8	0.11844569288389513	2020-04-28 06:11:40.374738	2020-04-28 06:35:20.622294	128	94	256	0.9773050824534287	0.0	0.11844569288389513	0.026217228464419477	0.056179775280898875	47.24953183520599	0.04929550515999321	0.050093632958801496	0.14606741573033707	0.05571161048689138	0.0800561797752809	45.245318352059925	0.08908981824737061	823257987	200	0.0	0.10018726591760299	0.006554307116104869	0.03323970037453183	49.25374531835206	0.0400396001558374	8	COMPLETE
9	0.09925093632958802	2020-04-28 06:35:20.656190	2020-04-28 06:40:04.963345	128	32	512	1.0057235495518713	0.0009363295880149813	0.09925093632958802	0.020599250936329586	0.04681647940074907	48.558052434456926	0.04586553797200428	0.04260299625468165	0.12827715355805244	0.048220973782771535	0.06320224719101124	46.59550561797753	0.0791011011876343	2223145623	150	0.0009363295880149813	0.0847378277153558	0.0056179775280898875	0.024344569288389514	50.52059925093633	0.03793415247175369	9	COMPLETE
