number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.9382022471910112	2020-04-03 13:43:00.634074	2020-04-03 14:05:05.796196	6.34618046334551	64	0.43915215384173617	300	92	0.06528551548795715	512	0.08061049872929098	0.4204119850187266	0.9382022471910112	0.7284644194756554	0.8441011235955056	3.8764044943820224	0.5994953113261848	0.4204119850187266	0.9382022471910112	0.7284644194756554	0.8441011235955056	3.8764044943820224	0.5994953113261848	565909227	200	0.4204119850187266	0.9382022471910112	0.7284644194756554	0.8441011235955056	3.8764044943820224	0.5994953113261848	0	COMPLETE
1	0.9344569288389513	2020-04-03 14:05:05.856959	2020-04-03 14:28:37.765616	3.9286326051186977	64	0.2278852717141011	400	55	0.01220020046033396	256	0.08162369550125541	0.397940074906367	0.9344569288389513	0.7008426966292135	0.8380149812734082	3.920880149812734	0.5801405095124801	0.397940074906367	0.9344569288389513	0.7008426966292135	0.8380149812734082	3.920880149812734	0.5801405095124801	1978848480	250	0.397940074906367	0.9344569288389513	0.7008426966292135	0.8380149812734082	3.920880149812734	0.5801405095124801	1	COMPLETE
2	0.9377340823970037	2020-04-03 14:28:37.807839	2020-04-03 14:55:03.668071	1.0347584555182565	64	0.15732000193637702	450	53	0.002305258200070545	128	0.07896136109061427	0.3782771535580524	0.9377340823970037	0.7275280898876404	0.8469101123595506	3.8029026217228465	0.5785731137762845	0.3782771535580524	0.9377340823970037	0.7275280898876404	0.8469101123595506	3.8029026217228465	0.5785731137762845	699565148	250	0.3782771535580524	0.9377340823970037	0.7275280898876404	0.8469101123595506	3.8029026217228465	0.5785731137762845	2	COMPLETE
3	0.8932584269662921	2020-04-03 14:55:03.710065	2020-04-03 15:24:15.340851	2.230489875963262	128	0.3339788078478786	250	77	0.05170268228824632	256	0.1042904580824691	0.3441011235955056	0.8932584269662921	0.625	0.7514044943820225	5.007958801498128	0.5211289522061221	0.3441011235955056	0.8932584269662921	0.625	0.7514044943820225	5.007958801498128	0.5211289522061221	641391848	200	0.3441011235955056	0.8932584269662921	0.625	0.7514044943820225	5.007958801498128	0.5211289522061221	3	COMPLETE
4	0.899812734082397	2020-04-03 15:24:15.382939	2020-04-03 16:45:17.118899	7.689962595213423	128	0.16470617840210738	500	80	0.002356213059414661	512	0.10098742597303893	0.325374531835206	0.899812734082397	0.6395131086142322	0.7780898876404494	4.864700374531835	0.5176908883077826	0.325374531835206	0.899812734082397	0.6395131086142322	0.7780898876404494	4.864700374531835	0.5176908883077826	1642792696	250	0.325374531835206	0.899812734082397	0.6395131086142322	0.7780898876404494	4.864700374531835	0.5176908883077826	4	COMPLETE
5	0.9382022471910112	2020-04-03 16:45:17.156791	2020-04-03 17:53:47.762244	6.048962985816623	256	0.47149717452762857	50	93	0.012033938199696581	128	0.08238032286243743	0.35814606741573035	0.9382022471910112	0.6764981273408239	0.8183520599250936	3.963014981273408	0.5497337253159281	0.35814606741573035	0.9382022471910112	0.6764981273408239	0.8183520599250936	3.963014981273408	0.5497337253159281	1993724861	300	0.35814606741573035	0.9382022471910112	0.6764981273408239	0.8183520599250936	3.963014981273408	0.5497337253159281	5	COMPLETE
6	0.9311797752808989	2020-04-03 17:53:47.800411	2020-04-03 18:49:11.984352	6.823534871776767	64	0.19278375287404292	150	52	0.0012496740712896904	128	0.08810154894412206	0.3600187265917603	0.9311797752808989	0.6980337078651685	0.8239700374531835	4.250936329588015	0.5545918297671086	0.3600187265917603	0.9311797752808989	0.6980337078651685	0.8239700374531835	4.250936329588015	0.5545918297671086	3055399178	550	0.3600187265917603	0.9311797752808989	0.6980337078651685	0.8239700374531835	4.250936329588015	0.5545918297671086	6	COMPLETE
7	0.8735955056179775	2020-04-03 18:49:12.036372	2020-04-03 19:07:47.080230	8.187085050190099	256	0.15407272358627278	150	5	0.0017530630992054967	128	0.1184602494042869	0.30664794007490637	0.8735955056179775	0.5987827715355806	0.7219101123595506	5.696161048689139	0.49027873004053446	0.30664794007490637	0.8735955056179775	0.5987827715355806	0.7219101123595506	5.696161048689139	0.49027873004053446	3439685195	400	0.30664794007490637	0.8735955056179775	0.5987827715355806	0.7219101123595506	5.696161048689139	0.49027873004053446	7	COMPLETE
8	0.9264981273408239	2020-04-03 19:07:47.124810	2020-04-03 22:34:09.850753	6.2031468745874685	256	0.4125868673048869	500	66	0.03590225059734754	512	0.08600075879528393	0.36891385767790263	0.9264981273408239	0.699438202247191	0.8174157303370787	4.124063670411985	0.5604452150476217	0.36891385767790263	0.9264981273408239	0.699438202247191	0.8174157303370787	4.124063670411985	0.5604452150476217	2421591406	300	0.36891385767790263	0.9264981273408239	0.699438202247191	0.8174157303370787	4.124063670411985	0.5604452150476217	8	COMPLETE
9	0.899812734082397	2020-04-03 22:34:09.890297	2020-04-03 23:53:23.727959	3.3381719439708677	128	0.376903621337558	50	100	0.0013189258431646645	128	0.09938995163514512	0.33286516853932585	0.899812734082397	0.650749063670412	0.7832397003745318	4.795880149812734	0.5236066496885421	0.33286516853932585	0.899812734082397	0.650749063670412	0.7832397003745318	4.795880149812734	0.5236066496885421	2899825350	600	0.33286516853932585	0.899812734082397	0.650749063670412	0.7832397003745318	4.795880149812734	0.5236066496885421	9	COMPLETE
