number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	201	251	301	351	401	451	501	551	601	651	701
0	TrialState.COMPLETE	0.02932011331444759	2019-12-26 14:53:40.057816	2019-12-26 15:19:22.763262	5.025073975153548	450.0	1	31.0	0.0014460806739274407	600.0	0.8658346077649067	0.0010269121813031162	0.02932011331444759	0.01395184135977337	0.02023725212464589	17552.168360481588	0.01094596613351191	0.0010269121813031162	0.02932011331444759	0.01395184135977337	0.02023725212464589	17552.151274787535	0.010945966504340989	0.0010269121813031162	0.02932011331444759	0.01395184135977337	0.02023725212464589	17552.185446175637	0.010945965762969743	0						0.027753186968838526	0.02862370160528801						
1	TrialState.COMPLETE	0.05330929693535926	2019-12-26 15:19:22.764082	2019-12-26 15:52:50.793467	4.280384332699599	450.0	1	41.0	0.00641889994316866	500.0	0.6622868292744087	0.0015291012104043265	0.05330929693535926	0.022936518156064897	0.03436453772856039	13424.650930337368	0.019436523165769014	0.0015291012104043265	0.05330929693535926	0.022936518156064897	0.03436453772856039	13424.636749935617	0.019436527901962958	0.0015291012104043265	0.05330929693535926	0.022936518156064897	0.03436453772856039	13424.665110739119	0.019436518491782993	1													
2	TrialState.COMPLETE	0.028328611898016998	2019-12-26 15:52:50.794293	2019-12-26 16:14:00.730670	5.499113283120991	450.0	1	1.0	0.0018444546874689383	600.0	0.8790774644225635	0.0010269121813031162	0.028328611898016998	0.01419971671388102	0.019776912181303116	17820.554984065155	0.010848008200997567	0.0010269121813031162	0.028328611898016998	0.01419971671388102	0.019776912181303116	17820.53836756374	0.01084800878601034	0.0010269121813031162	0.028328611898016998	0.01419971671388102	0.019776912181303116	17820.57160056657	0.010848007617086198	2						0.026823654390934846	0.027659741894869375						
3	TrialState.COMPLETE	0.031624536936151665	2019-12-26 16:14:00.731511	2019-12-26 16:43:12.056753	9.54699170303518	350.0	2	6.0	0.00930108654485754	1400.0	0.8688661473717064	0.009560906515580737	0.031624536936151665	0.017160601438221835	0.022635650468511657	17613.527994933538	0.01666462633416451	0.009560906515580737	0.031624536936151665	0.017160601438221835	0.022635650468511657	17613.50478045326	0.016664627306625115	0.009560906515580737	0.031624536936151665	0.017160601438221835	0.022635650468511657	17613.551209413814	0.016664625366306116	3									0.03003476693278393	0.030895892351274788			
4	TrialState.COMPLETE	0.0030541784702549576	2019-12-26 16:43:12.057568	2019-12-26 16:47:12.080381	8.12016308391731	250.0	2	1.0	0.0036119468112327567	1200.0	0.9796938676691493	0.000708215297450425	0.0030541784702549576	0.0023902266288951843	0.0025230169971671387	19861.15910499292	0.0019236696074381248	0.000708215297450425	0.0030541784702549576	0.0023902266288951843	0.0025230169971671387	19861.139783994335	0.0019236699521268264	0.000708215297450425	0.0030541784702549576	0.0023902266288951843	0.0025230169971671387	19861.1784259915	0.0019236692629836535	4	0.000796742209631728	0.002301699716713881											
5	TrialState.COMPLETE	0.034525495750708214	2019-12-26 16:47:12.081197	2019-12-26 17:12:26.706045	9.33288150507816	350.0	1	26.0	0.002534107628593355	700.0	0.8213396410889805	0.009158511460211178	0.034525495750708214	0.018606747360288438	0.024723152201905744	16650.055763906774	0.017670604225679173	0.009158511460211178	0.034525495750708214	0.018606747360288438	0.024723152201905744	16650.03916108679	0.017670604697987723	0.009158511460211178	0.034525495750708214	0.018606747360288438	0.024723152201905744	16650.07236672676	0.017670603754077783	5							0.03318775574441297	0.033923512747875355					
6	TrialState.COMPLETE	0.2356111379810682	2019-12-26 17:12:26.706924	2019-12-26 19:03:16.124457	7.069547097930398	350.0	1	26.0	0.005105082310728052	2000.0	0.5216303947101758	0.009755233883783597	0.2356111379810682	0.18301319698749396	0.2106940509915014	10572.125114437227	0.10331285574297787	0.009755233883783597	0.2356111379810682	0.18301319698749396	0.2106940509915014	10572.11713190078	0.10331287649322213	0.009755233883783597	0.2356111379810682	0.18301319698749396	0.2106940509915014	10572.133096973675	0.10331283613773236	6													
7	TrialState.COMPLETE	0.030780126389191545	2019-12-26 19:03:16.125268	2019-12-26 19:40:46.768665	5.235570675629858	450.0	2	41.0	0.0062384666895043675	800.0	0.878778000891378	0.008362388319895402	0.030780126389191545	0.015662453693615165	0.02151884942253214	17815.236421333622	0.015358498492858088	0.008362388319895402	0.030780126389191545	0.015662453693615165	0.02151884942253214	17815.20983602092	0.015358503652323495	0.008362388319895402	0.030780126389191545	0.015662453693615165	0.02151884942253214	17815.263006646328	0.015358493445457162	7									0.029165593613185683	0.030040132200188856			
8	TrialState.COMPLETE	0.0010623229461756375	2019-12-26 19:40:46.769658	2019-12-26 19:45:26.796292	2.4220497219756574	150.0	2	46.0	0.0029047733999707434	1300.0	0.9823493846514093	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	19915.295901203965	0.0010538385925839128	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	19915.280630311616	0.001053838846469588	0.000708215297450425	0.0010623229461756375	0.000708215297450425	0.0008852691218130312	19915.311172096317	0.0010538383388819948	8	0.000708215297450425	0.0009442870632672333											
