number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
9	TrialState.COMPLETE	0.02498426188227888	2019-12-26 19:45:26.797094	2019-12-26 20:01:49.466812	1.601818904531664	250.0	1	21.0	0.012381629647831384	1600.0	0.7131462370242754	0.000708215297450425	0.02498426188227888	0.0113707900535096	0.0170758577274158	14455.820673984892	0.009620127304292875	0.000708215297450425	0.02498426188227888	0.0113707900535096	0.0170758577274158	14455.806893295561	0.009620132627186362	0.000708215297450425	0.02498426188227888	0.0113707900535096	0.0170758577274158	14455.834454674221	0.009620122051737156	9					0.02387697288547147	0.02449982294617564							
10	TrialState.COMPLETE	0.4149504249291785	2019-12-26 20:01:49.467651	2019-12-26 21:05:29.048783	8.830356976425715	350.0	1	16.0	0.05823259081600274	1200.0	0.327413597478603	0.012188385269121813	0.4149504249291785	0.3592351274787535	0.3886402266288952	6636.275871104815	0.19044144754083242	0.012188385269121813	0.4149504249291785	0.3592351274787535	0.3886402266288952	6636.271140226629	0.1904414731490464	0.012188385269121813	0.4149504249291785	0.3592351274787535	0.3886402266288952	6636.280601983003	0.190441423772291	10													
11	TrialState.COMPLETE	0.33113280723054095	2019-12-26 21:05:29.049575	2019-12-26 22:00:51.421526	9.91284315782493	350.0	1	31.0	0.022178083978154083	1000.0	0.4540424893051735	0.012494941319303926	0.33113280723054095	0.27798293538378527	0.3068511398893835	9202.286291818427	0.14991715672881098	0.012494941319303926	0.33113280723054095	0.27798293538378527	0.3068511398893835	9202.280925401323	0.1499171607731417	0.012494941319303926	0.33113280723054095	0.27798293538378527	0.3068511398893835	9202.291658235532	0.1499171527599647	11													
12	TrialState.COMPLETE	0.03117756889003348	2019-12-26 22:00:51.422568	2019-12-26 22:22:59.923145	2.2247701974903333	150.0	1	46.0	0.014515883876763325	500.0	0.6893876395111158	0.0015612928148338913	0.03117756889003348	0.012039660056657223	0.020280710790625805	13973.928075907803	0.011951596245441613	0.0015612928148338913	0.03117756889003348	0.012039660056657223	0.020280710790625805	13973.917863121298	0.011951598117764002	0.0015612928148338913	0.03117756889003348	0.012039660056657223	0.020280710790625805	13973.938288694308	0.011951594382871054	12													
13	TrialState.COMPLETE	0.016870700121408337	2019-12-26 22:22:59.924182	2019-12-26 22:34:02.252579	0.9074292627984354	50.0	1	46.0	0.0715339353688512	1400.0	0.6779871625610426	0.0023269931201942533	0.016870700121408337	0.009307972480777013	0.012596114933225416	13743.299600364226	0.008063749965409645	0.0023269931201942533	0.016870700121408337	0.009307972480777013	0.012596114933225416	13743.293985228653	0.00806375028959507	0.0023269931201942533	0.016870700121408337	0.009307972480777013	0.012596114933225416	13743.305215499797	0.008063749641666926	13			0.015828611898016997	0.01643649669499528									
14	TrialState.COMPLETE	0.031161473087818695	2019-12-26 22:34:02.253651	2019-12-26 22:57:57.182399	5.12394211763561	150.0	2	26.0	0.010966321132391635	900.0	0.8659779738045704	0.009969492264109828	0.031161473087818695	0.01702440618871214	0.023384724340814993	17555.507470309436	0.01675244104021799	0.009969492264109828	0.031161473087818695	0.01702440618871214	0.023384724340814993	17555.491760187404	0.016752442026787794	0.009969492264109828	0.031161473087818695	0.01702440618871214	0.023384724340814993	17555.523180431468	0.016752440057255867	14									0.029455318053051766	0.03037948536355052			
15	TrialState.COMPLETE	0.03361071765816808	2019-12-26 22:57:57.183414	2019-12-26 23:19:56.745449	5.754855541305711	150.0	2	31.0	0.01719920283590678	1900.0	0.8409265299421415	0.010283876298394713	0.03361071765816808	0.018354579792256846	0.024551463644948063	17047.438038538716	0.01786848494678627	0.010283876298394713	0.03361071765816808	0.018354579792256846	0.024551463644948063	17047.42273076015	0.01786881160531226	0.010283876298394713	0.03361071765816808	0.018354579792256846	0.024551463644948063	17047.45334631728	0.01786819445800281	15								0.032011331444759206	0.03288372392480041				
16	TrialState.COMPLETE	0.029762747875354108	2019-12-26 23:19:56.746491	2019-12-26 23:36:44.615859	3.1769746711856275	150.0	1	21.0	0.006951008096974095	500.0	0.8432916164772017	0.005488668555240793	0.029762747875354108	0.016607648725212466	0.02179532577903683	17095.21397839943	0.014388008012769363	0.005488668555240793	0.029762747875354108	0.016607648725212466	0.02179532577903683	17095.20145184136	0.014388008222187635	0.005488668555240793	0.029762747875354108	0.016607648725212466	0.02179532577903683	17095.226504957507	0.014388007803508513	16						0.02852779745042493	0.029213881019830027						
17	TrialState.COMPLETE	0.1783446038563465	2019-12-26 23:36:44.616683	2019-12-27 01:04:39.906444	9.467153758572483	350.0	1	46.0	0.005136556036377188	1500.0	0.5732950035993029	0.01109727679795303	0.1783446038563465	0.12500571141368913	0.15132961710682627	11619.196004294983	0.07622564779153672	0.01109727679795303	0.1783446038563465	0.12500571141368913	0.15132961710682627	11619.186671845015	0.0762256729640835	0.01109727679795303	0.1783446038563465	0.12500571141368913	0.15132961710682627	11619.205336744952	0.07622562403787003	17													
18	TrialState.COMPLETE	0.032754957507082155	2019-12-27 01:04:39.907496	2019-12-27 01:23:13.314721	4.943176462852005	50.0	2	16.0	0.03353908129664236	1400.0	0.8397164773793905	0.010446175637393768	0.032754957507082155	0.016981071336595415	0.023129667782642287	17022.37850888488	0.01731745076072884	0.010446175637393768	0.032754957507082155	0.016981071336595415	0.023129667782642287	17022.3698976307	0.01731745104918612	0.010446175637393768	0.032754957507082155	0.016981071336595415	0.023129667782642287	17022.38712013907	0.0173174504727607	18							0.031063109852061694	0.03199362606232295					
19	TrialState.COMPLETE	0.4178197864458488	2019-12-27 01:23:13.315721	2019-12-27 02:20:23.826116	7.956286486335184	150.0	1	1.0	0.0734287042472946	1900.0	0.3082926423545805	0.016543182973777874	0.4178197864458488	0.35580554950243337	0.3899451587128641	6248.294081862425	0.19076355528778405	0.016543182973777874	0.4178197864458488	0.35580554950243337	0.3899451587128641	6248.290967531053	0.19076356339017816	0.016543182973777874	0.4178197864458488	0.35580554950243337	0.3899451587128641	6248.2971961937965	0.19076354752550587	19													
20	TrialState.COMPLETE	0.03603850115889776	2019-12-27 02:20:23.827154	2019-12-27 02:46:26.988245	8.959517317982513	350.0	1	41.0	0.0035028748309070988	1100.0	0.8049310208484007	0.010220834406386815	0.03603850115889776	0.017431753798609322	0.023274530002575327	16316.742185488025	0.018224019140939653	0.010220834406386815	0.03603850115889776	0.017431753798609322	0.023274530002575327	16316.727063481843	0.01822401955039784	0.010220834406386815	0.03603850115889776	0.017431753798609322	0.023274530002575327	16316.757307494205	0.018224018732005888	20							0.034722222222222224	0.035446175637393766					
21	TrialState.COMPLETE	0.030848224013946393	2019-12-27 02:46:26.989220	2019-12-27 03:15:47.826049	6.560218567902372	250.0	2	41.0	0.008278932099010478	600.0	0.8932590842219232	0.008770974068424493	0.030848224013946393	0.016098278492046196	0.021232839398561777	18108.5903927871	0.015574780404016525	0.008770974068424493	0.030848224013946393	0.016098278492046196	0.021232839398561777	18108.56886031815	0.015574780929602896	0.008770974068424493	0.030848224013946393	0.016098278492046196	0.021232839398561777	18108.611925256046	0.015574779879146013	21													
22	TrialState.COMPLETE	0.036225212464589235	2019-12-27 03:15:47.827045	2019-12-27 03:43:13.318654	9.502210114368005	450.0	1	46.0	0.003812266399062569	1800.0	0.7866755428234673	0.008693342776203965	0.036225212464589235	0.018360481586402265	0.02443342776203966	15946.862694759207	0.01776371306371373	0.008693342776203965	0.036225212464589235	0.018360481586402265	0.02443342776203966	15946.845290368272	0.01776371365693046	0.008693342776203965	0.036225212464589235	0.018360481586402265	0.02443342776203966	15946.880099150141	0.017763712471672726	22						0.034702549575070823	0.03554847340258105						
23	TrialState.COMPLETE	0.03213526912181303	2019-12-27 03:43:13.319457	2019-12-27 04:00:45.193426	4.714316786008503	150.0	1	41.0	0.00507611017747132	1100.0	0.8590935758930598	0.00793201133144476	0.03213526912181303	0.0176699716713881	0.022893059490084987	17415.456356232295	0.016313545840274096	0.00793201133144476	0.03213526912181303	0.0176699716713881	0.022893059490084987	17415.443856232294	0.016313546668207224	0.00793201133144476	0.03213526912181303	0.0176699716713881	0.022893059490084987	17415.468856232295	0.016313545015010783	23						0.030740970254957506	0.03151558073654391						
24	TrialState.COMPLETE	0.0255842776203966	2019-12-27 04:00:45.194239	2019-12-27 04:44:43.059663	7.013373370024785	450.0	2	21.0	0.0031613583510733054	2000.0	0.9183467695247822	0.005909171388101983	0.0255842776203966	0.01371060552407932	0.018402531869688384	18617.320107781514	0.012439806118568032	0.005909171388101983	0.0255842776203966	0.01371060552407932	0.018402531869688384	18617.294163863313	0.012439808381170418	0.005909171388101983	0.0255842776203966	0.01371060552407932	0.018402531869688384	18617.34605169972	0.012439803871509973	24												0.02397814649939296	0.024834749763928233
25	TrialState.COMPLETE	0.016342067988668555	2019-12-27 04:44:43.061286	2019-12-27 05:00:26.881404	1.1833000220886234	150.0	1	6.0	0.0049725719356656425	800.0	0.8677003238717615	0.000708215297450425	0.016342067988668555	0.008179886685552407	0.01108356940509915	17590.13502124646	0.006515755331644713	0.000708215297450425	0.016342067988668555	0.008179886685552407	0.01108356940509915	17590.121759915015	0.0065157561971412965	0.000708215297450425	0.016342067988668555	0.008179886685552407	0.01108356940509915	17590.148282577902	0.006515754471348598	25						0.014717599150141644	0.01562008183821215						
26	TrialState.COMPLETE	0.4211367997806817	2019-12-27 05:00:26.882396	2019-12-27 06:36:24.428258	7.298182075058131	450.0	1	31.0	0.07603554009077813	1500.0	0.3482501748619127	0.007122132870328064	0.4211367997806817	0.369402814584666	0.39774856072375037	7058.654982066161	0.19203310643812405	0.007122132870328064	0.4211367997806817	0.369402814584666	0.39774856072375037	7058.6488622863935	0.19203310840486776	0.007122132870328064	0.4211367997806817	0.369402814584666	0.39774856072375037	7058.661101845929	0.19203310450005753	26													
27	TrialState.COMPLETE	0.03868626062322946	2019-12-27 06:36:24.429277	2019-12-27 07:16:24.009691	9.374663076291641	450.0	2	36.0	0.01835262206187232	2000.0	0.7580417057379041	0.010585289356535816	0.03868626062322946	0.01903328611898017	0.02658336705787131	15366.538351123027	0.019515164480239964	0.010585289356535816	0.03868626062322946	0.01903328611898017	0.02658336705787131	15366.51373431809	0.019515169213637933	0.010585289356535816	0.03868626062322946	0.01903328611898017	0.02658336705787131	15366.562967927965	0.019515159795364983	27										0.03707802171860246	0.037943996513401614		
28	TrialState.COMPLETE	0.19365472818022392	2019-12-27 07:16:24.010696	2019-12-27 08:17:38.817510	5.390022714657487	450.0	2	16.0	0.055325469167147534	1000.0	0.5673071427505448	0.011247133414272225	0.19365472818022392	0.14169364629704573	0.1674086065020909	11497.591570551733	0.08403660121145738	0.011247133414272225	0.19365472818022392	0.14169364629704573	0.1674170376365844	11497.576394509646	0.08403687101748486	0.011247133414272225	0.19365472818022392	0.14169364629704573	0.1674086065020909	11497.606746593821	0.0840363688637236	28													
29	TrialState.COMPLETE	0.31217313140117675	2019-12-27 08:17:38.818337	2019-12-27 08:45:10.349916	3.7266839544630237	250.0	1	21.0	0.05285831495302611	600.0	0.4754921950388719	0.0036908912617127916	0.31217313140117675	0.250885269121813	0.2858329701460013	9637.083923512748	0.1327260157872502	0.0036908912617127916	0.31217313140117675	0.250885269121813	0.2858329701460013	9637.075928851602	0.13272601707556825	0.0036908912617127916	0.31217313140117675	0.250885269121813	0.2858329701460013	9637.091918173894	0.132726014505971	29													
30	TrialState.COMPLETE	0.372352829406481	2019-12-27 08:45:10.350819	2019-12-27 10:09:22.373209	4.723494637093254	150.0	1	31.0	0.03931201556707371	2000.0	0.3841661768572036	0.00777309472811442	0.372352829406481	0.32432374075865406	0.35155116423685484	7786.339485593864	0.1694264495478556	0.00777309472811442	0.372352829406481	0.32432374075865406	0.35155116423685484	7786.334541041941	0.1694264513398787	0.00777309472811442	0.372352829406481	0.32432374075865406	0.35155116423685484	7786.3444301457885	0.16942644777457824	30													
31	TrialState.COMPLETE	0.0016377478753541077	2019-12-27 10:09:22.374235	2019-12-27 10:13:32.873894	2.9615435891323014	50.0	1	21.0	0.0021525703539303563	2000.0	0.9745689532443155	0.000796742209631728	0.0016377478753541077	0.0010623229461756375	0.0012393767705382436	19757.841249114732	0.0012967503503831346	0.000796742209631728	0.0016377478753541077	0.0010623229461756375	0.0012393767705382436	19757.833392351276	0.0012967504603097419	0.000796742209631728	0.0016377478753541077	0.0010623229461756375	0.0012393767705382436	19757.849105878187	0.001296750240510044	31	0.000796742209631728	0.0013574126534466478											
32	TrialState.COMPLETE	0.027891879131255903	2019-12-27 10:13:32.874885	2019-12-27 10:43:27.440656	4.012709810085067	250.0	2	11.0	0.0053619679291529955	1100.0	0.896485945389116	0.008203493862134089	0.027891879131255903	0.01560434372049103	0.019487724268177527	18174.136242917848	0.014403093111328494	0.008203493862134089	0.027891879131255903	0.01560434372049103	0.019487724268177527	18174.11506137866	0.014403094470902048	0.008203493862134089	0.027891879131255903	0.01560434372049103	0.019487724268177527	18174.157424457037	0.014403091761948287	32											0.026244824580518633	0.02712717523269931	
33	TrialState.COMPLETE	0.0009737960339943342	2019-12-27 10:43:27.441673	2019-12-27 10:47:54.621231	6.946014117876521	50.0	2	36.0	0.002055841881509157	1300.0	0.9838833543386273	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.0009295325779036828	19946.649676876772	0.0009667568302794222	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.0009295325779036828	19946.640580736545	0.000966756931701064	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.0009295325779036828	19946.658773016996	0.0009667567288895747	33	0.0008852691218130312	0.0009442870632672333											
34	TrialState.COMPLETE	0.0011508498583569404	2019-12-27 10:47:54.622041	2019-12-27 10:52:16.637779	7.177255657810977	50.0	1	36.0	0.001781082494621246	1800.0	0.9722506920485526	0.0005311614730878187	0.0011508498583569404	0.000708215297450425	0.0008852691218130312	19710.539106763455	0.0009795758819645178	0.0005311614730878187	0.0011508498583569404	0.000708215297450425	0.0008852691218130312	19710.53116147309	0.000979575972216231	0.0005311614730878187	0.0011508498583569404	0.000708215297450425	0.0008852691218130312	19710.547052053826	0.000979575791746779	34	0.0008852691218130312	0.0010623229461756375											
35	TrialState.COMPLETE	0.03320440183046415	2019-12-27 10:52:16.638601	2019-12-27 11:16:21.484586	7.862605623786095	50.0	2	46.0	0.023645967744005403	1800.0	0.8634018821439032	0.00987415558945304	0.03320440183046415	0.01788243626062323	0.023793310089344082	17502.763939583787	0.01718114076411297	0.00987415558945304	0.03320440183046415	0.01788243626062323	0.023793310089344082	17502.75475321421	0.0171811410110449	0.00987415558945304	0.03320440183046415	0.01788243626062323	0.023793310089344082	17502.77312595337	0.01718114051747409	35									0.03164434715426217	0.032489376770538245			
36	TrialState.COMPLETE	0.4018474055137152	2019-12-27 11:16:21.485563	2019-12-27 13:01:34.470995	8.681046975498226	450.0	1	1.0	0.030815138607572384	2000.0	0.3706687379073942	0.009604090375181373	0.4018474055137152	0.35189663511365993	0.3788520002763767	7512.703182218614	0.18469186314339933	0.009604090375181373	0.4018474055137152	0.35189663511365993	0.3788520002763767	7512.697535928971	0.18469189954924445	0.009604090375181373	0.4018474055137152	0.35189663511365993	0.3788520002763767	7512.708828508256	0.18469182883824375	36													
37	TrialState.COMPLETE	0.2568765420816961	2019-12-27 13:01:34.471851	2019-12-27 14:14:13.212604	2.321169405509116	250.0	1	36.0	0.05584169068819276	1500.0	0.47879704264967954	0.0008053093301654025	0.2568765420816961	0.14959334734533491	0.20192703097870784	9704.035939070638	0.09227898197903517	0.0008053093301654025	0.2568765420816961	0.14959905875902405	0.20192703097870784	9704.026889335648	0.09227928535700788	0.0008053093301654025	0.2568765420816961	0.14959334734533491	0.20192703097870784	9704.04498880563	0.09227874811069599	37													
38	TrialState.COMPLETE	0.03326841359773371	2019-12-27 14:14:13.213576	2019-12-27 14:37:00.402766	4.446796310477046	350.0	1	36.0	0.002890558556629515	900.0	0.8423670259144977	0.0024079320113314447	0.03326841359773371	0.014642351274787536	0.021246458923512748	17076.41134029745	0.012548909838956715	0.0024079320113314447	0.03326841359773371	0.014642351274787536	0.021246458923512748	17076.397291076486	0.012548910482995827	0.0024079320113314447	0.03326841359773371	0.014642351274787536	0.021246458923512748	17076.425389518412	0.012548909195993165	38						0.03189182011331445	0.03265659427132515						
39	TrialState.COMPLETE	0.030147437548287408	2019-12-27 14:37:00.403571	2019-12-27 14:55:09.903238	9.375071699329087	50.0	2	16.0	0.02466918336120025	1400.0	0.873352884260839	0.010140355395312902	0.030147437548287408	0.016449909863507597	0.022051249034251867	17704.581291849085	0.016616713765246885	0.010140355395312902	0.030147437548287408	0.016449909863507597	0.022051249034251867	17704.57209309812	0.016616714152218933	0.010140355395312902	0.030147437548287408	0.016449909863507597	0.022051249034251867	17704.59049060005	0.01661671337920597	39							0.028545011016682404	0.029426345609065156					
