number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.relation_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101
0	TrialState.COMPLETE	0.0009295325779036828	2020-01-08 11:43:52.730593	2020-01-08 13:24:04.102454	0.8923010340436308	5.217126757503397	200.0	100.0	2	150.0	0.05058580910594763	800.0	1.0605051642407413	0.000708215297450425	0.0009295325779036828	0.0007524787535410764	0.0008410056657223796	21500.44677319405	0.0009916055377720274	0.000708215297450425	0.0009295325779036828	0.0007524787535410764	0.0008410056657223796	21500.437013101982	0.0009916056134079475	0.000708215297450425	0.0009295325779036828	0.0007524787535410764	0.0008410056657223796	21500.45653328612	0.0009916054621575579	0	0.0009737960339943342	0.0009442870632672333
1	TrialState.COMPLETE	0.00141643059490085	2020-01-08 13:24:04.103352	2020-01-08 14:06:39.852563	0.49833759815622614	16.748169405656636	100.0	150.0	1	60.0	0.005280777926525483	900.0	1.0183234296442676	0.000708215297450425	0.00141643059490085	0.0010623229461756375	0.0012393767705382436	20644.893546388103	0.0011285431485977427	0.000708215297450425	0.00141643059490085	0.0010623229461756375	0.0012393767705382436	20644.882657577902	0.001128543235855484	0.000708215297450425	0.00141643059490085	0.0010623229461756375	0.0012393767705382436	20644.9044351983	0.001128543061360607	1	0.00141643059490085	0.00141643059490085
2	TrialState.COMPLETE	0.0009737960339943342	2020-01-08 14:06:39.853613	2020-01-08 14:56:48.805538	0.6784960220090779	21.052345712148686	50.0	150.0	2	150.0	0.07461277180647616	1000.0	1.057471747041033	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.0008410056657223796	21438.94996016289	0.0009013144415969822	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.0008410056657223796	21438.942767351276	0.0009013145273351046	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.0008410056657223796	21438.957152974504	0.0009013143558964211	2	0.0008852691218130312	0.0009442870632672333
3	TrialState.COMPLETE	0.0008410056657223796	2020-01-08 14:56:48.806394	2020-01-08 15:48:36.284097	0.4016497371781892	28.581411427353302	100.0	100.0	1	130.0	0.02161220091646081	900.0	1.0396745033747852	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000796742209631728	21077.761043732295	0.0009390602526600821	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000796742209631728	21077.752124645893	0.0009390603261643946	0.000708215297450425	0.0008410056657223796	0.000708215297450425	0.000796742209631728	21077.769962818697	0.0009390601791719267	3	0.0009737960339943342	0.0008852691218130312
4	TrialState.COMPLETE	0.0009737960339943342	2020-01-08 15:48:36.285149	2020-01-08 16:14:45.397128	0.4937230134749251	23.577882267220755	150.0	50.0	2	20.0	0.015358786004458171	500.0	1.0529307758219812	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.000796742209631728	21346.864863668554	0.000977070619621743	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.000796742209631728	21346.85711756374	0.0009770707622796715	0.000708215297450425	0.0009737960339943342	0.000708215297450425	0.000796742209631728	21346.87260977337	0.0009770704770626262	4	0.0008852691218130312	0.0009442870632672333
5	TrialState.COMPLETE	0.001106586402266289	2020-01-08 16:14:45.398205	2020-01-08 17:05:25.183335	0.3305256383363049	13.88945127839022	50.0	150.0	2	150.0	0.0026589704431152785	600.0	0.9962625032839185	0.000708215297450425	0.001106586402266289	0.0009295325779036828	0.0010180594900849858	20197.396224327196	0.0010348436233156562	0.000708215297450425	0.001106586402266289	0.0009295325779036828	0.0010180594900849858	20197.386951133143	0.001034843683138908	0.000708215297450425	0.001106586402266289	0.0009295325779036828	0.0010180594900849858	20197.405497521246	0.001034843563501792	5	0.0011508498583569404	0.0011213408876298394
6	TrialState.COMPLETE	0.0008852691218130312	2020-01-08 17:05:25.184414	2020-01-08 18:27:36.805943	0.5261317862076427	17.81326267158728	150.0	150.0	1	100.0	0.004235997679778336	700.0	1.0207885981029847	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000796742209631728	20695.22722645184	0.0009652438028297097	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000796742209631728	20695.214500708214	0.0009652439619787239	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000796742209631728	20695.23995219547	0.0009652436437679917	6	0.0008852691218130312	0.0008852691218130312
7	TrialState.COMPLETE	0.000708215297450425	2020-01-08 18:27:36.806858	2020-01-08 20:01:21.595897	0.9647801787724566	27.12125759762593	150.0	100.0	1	190.0	0.0024451399042250375	600.0	1.0147412403790188	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20572.224371458924	0.0009014779443218778	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20572.21445644476	0.0009014780391365385	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	20572.23428647309	0.0009014778495324745	7	0.000708215297450425	0.000708215297450425
8	TrialState.COMPLETE	0.0008852691218130312	2020-01-08 20:01:21.596807	2020-01-08 21:16:50.017146	0.9931191332755541	5.087922485580771	200.0	50.0	1	180.0	0.007435998232793365	700.0	1.02113178082513	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	20701.94385180595	0.0009317426562117714	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	20701.936260623228	0.0009317427102231151	0.000708215297450425	0.0008852691218130312	0.000708215297450425	0.000708215297450425	20701.95144298867	0.0009317426022112019	8	0.0008852691218130312	0.0008852691218130312
