number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	551	601
0	TrialState.COMPLETE	0.0015049575070821529	2020-01-17 11:26:38.942551	2020-01-17 11:42:16.232875	8.15812657014279	450.0	6.0	0.09998761863549664	500.0	0.9900955108773376	0.0006196883852691218	0.0015049575070821529	0.0010180594900849858	0.001106586402266289	20072.662867386687	0.0011406475061968742	0.0006196883852691218	0.0015049575070821529	0.0010180594900849858	0.001106586402266289	20072.662491147308	0.0011406475170915524	0.0006196883852691218	0.0015049575070821529	0.0010180594900849858	0.001106586402266289	20072.663243626062	0.0011406474953067145	0	0.00141643059490085	0.001475448536355052									
1	TrialState.COMPLETE	0.30018885741265344	2020-01-17 11:42:16.233645	2020-01-17 12:59:01.055961	8.962078101393015	50.0	36.0	0.004275534073974459	700.0	0.27216806424515894	0.1665840415486308	0.30018885741265344	0.23067752596789423	0.26017469310670444	5517.0702844664775	0.21329043491515742	0.1665840415486308	0.30018885741265344	0.23067752596789423	0.26017469310670444	5517.070101510859	0.21329043529906128	0.1665840415486308	0.30018885741265344	0.23067752596789423	0.26017469310670444	5517.070467422096	0.21329043453278446	1											
2	TrialState.COMPLETE	0.21329084041548632	2020-01-17 12:59:01.056720	2020-01-17 13:37:38.623660	4.710916841886172	150.0	26.0	0.010239303881091791	900.0	0.3368821286975698	0.1052683349071451	0.21329084041548632	0.1586205539817438	0.1816178785017312	6829.427289896128	0.1437434419863688	0.1052683349071451	0.21329084041548632	0.1586205539817438	0.1816178785017312	6829.427132514951	0.14374344225989752	0.1052683349071451	0.21329084041548632	0.1586205539817438	0.1816178785017312	6829.427447277306	0.1437434417141848	2						0.2468130311614731	0.22795679886685552				
3	TrialState.COMPLETE	0.12739022662889518	2020-01-17 13:37:38.624447	2020-01-17 14:41:47.832313	0.6832059268227053	450.0	21.0	0.01088378354270948	600.0	0.4463618531213841	0.05139872521246459	0.12739022662889518	0.08709277620396601	0.103328611898017	9049.05457684136	0.07831767103157902	0.05139872521246459	0.12739022662889518	0.08709277620396601	0.103328611898017	9049.054408640226	0.07831767106493964	0.05139872521246459	0.12739022662889518	0.08709277620396601	0.103328611898017	9049.054745042493	0.07831767099826417	3							0.1273238314447592	0.1273607176581681			
4	TrialState.COMPLETE	0.09789714534757028	2020-01-17 14:41:47.833397	2020-01-17 16:27:45.681387	5.340869269339685	450.0	36.0	0.014535566936140354	600.0	0.49192567392303777	0.03662290259315755	0.09789714534757028	0.06459740684244933	0.07842122466768359	9972.903573763348	0.05836759040261135	0.03662290259315755	0.09789714534757028	0.06459740684244933	0.07842122466768359	9972.903301372848	0.05836759048795654	0.03662290259315755	0.09789714534757028	0.06459740684244933	0.07842122466768359	9972.903846153846	0.05836759031740453	4											
5	TrialState.COMPLETE	0.012039660056657223	2020-01-17 16:27:45.682256	2020-01-17 16:46:40.333521	8.863541036655034	50.0	1.0	0.04898112790652353	1000.0	0.8846736927087718	0.006108356940509915	0.012039660056657223	0.008764164305949009	0.01021010387157696	17935.42261272427	0.008538003941667848	0.006108356940509915	0.012039660056657223	0.008764164305949009	0.01021010387157696	17935.422273371103	0.008538003980540321	0.006108356940509915	0.012039660056657223	0.008764164305949009	0.01021010387157696	17935.42295207743	0.0085380039028236	5			0.010623229461756374	0.011473087818696884							
6	TrialState.COMPLETE	0.40229158235532175	2020-01-17 16:46:40.334517	2020-01-17 17:59:26.300312	1.6177619330543234	150.0	46.0	0.0015532189551729358	800.0	0.3144281468446693	0.28539811817078103	0.40229158235532175	0.35247622420072844	0.37477235936867664	6373.375189700526	0.32796485889459087	0.28539811817078103	0.40229158235532175	0.35247622420072844	0.37477235936867664	6373.3750505868065	0.3279648589043454	0.28539811817078103	0.40229158235532175	0.35247622420072844	0.37477235936867664	6373.375328814245	0.32796485888484184	6										0.4003777148253069	0.40140825887993026
7	TrialState.COMPLETE	0.2682501634342994	2020-01-17 17:59:26.301358	2020-01-17 19:02:45.282322	6.445750760440373	50.0	16.0	0.004609217806477792	600.0	0.26403486538365734	0.14314120723469165	0.2682501634342994	0.20046578775332316	0.22755502288080193	5352.243680540423	0.1867473202984267	0.14314120723469165	0.2682501634342994	0.20046578775332316	0.22755502288080193	5352.243544345173	0.1867473235268934	0.14314120723469165	0.2682501634342994	0.20046578775332316	0.22755502288080193	5352.243816735672	0.18674731713777903	7											
8	TrialState.COMPLETE	0.25356320821529743	2020-01-17 19:02:45.283378	2020-01-17 19:36:11.518541	8.59928172995102	150.0	26.0	0.006809114157512982	600.0	0.2640729649700647	0.11563827903682719	0.25356320821529743	0.18170148725212465	0.21014075779036828	5353.044396246459	0.16368864297782318	0.11563827903682719	0.25356320821529743	0.18170148725212465	0.21014075779036828	5353.04426345609	0.16368864485667706	0.11563827903682719	0.25356320821529743	0.18170148725212465	0.21014075779036828	5353.044529036827	0.1636886411213302	8					0.2670266761095373	0.25933326588425737					
9	TrialState.COMPLETE	0.04778485993075228	2020-01-17 19:36:11.519362	2020-01-17 20:14:10.079156	9.878196865148755	50.0	26.0	0.040523316004847765	900.0	0.5207824172400813	0.021187440982058547	0.04778485993075228	0.032813975448536356	0.03828297135662575	10558.177821057601	0.03185940895103409	0.021187440982058547	0.04778485993075228	0.032813975448536356	0.03828297135662575	10558.177565313188	0.03185940934102404	0.021187440982058547	0.04778485993075228	0.032813975448536356	0.03828297135662575	10558.178076802014	0.03185940856250608	9						0.04686867664912991	0.047384029745042494				
10	TrialState.COMPLETE	0.01568191015783084	2020-01-17 20:14:10.080220	2020-01-17 20:43:19.695270	4.39906972188975	150.0	36.0	0.06475640182028464	800.0	0.9016128871621681	0.0074615540267098344	0.01568191015783084	0.011584378794010522	0.013506677458518818	18278.673512747875	0.01084502275667431	0.0074615540267098344	0.01568191015783084	0.011584378794010522	0.013506677458518818	18278.673209227032	0.0108450227783468	0.0074615540267098344	0.01568191015783084	0.011584378794010522	0.013506677458518818	18278.673816268718	0.010845022735018632	10				0.016005665722379603	0.015816808309726156						
11	TrialState.COMPLETE	0.0038509206798866854	2020-01-17 20:43:19.696257	2020-01-17 20:59:55.841862	5.979700035733748	350.0	46.0	0.08518179478913128	600.0	0.9767675232288076	0.00141643059490085	0.0038509206798866854	0.0021689093484419265	0.0028328611898017	19802.327350389518	0.0025099749115585074	0.00141643059490085	0.0038509206798866854	0.0021689093484419265	0.0028328611898017	19802.32710694051	0.0025099749129634625	0.00141643059490085	0.0038509206798866854	0.0021689093484419265	0.0028328611898017	19802.327593838527	0.0025099749101537444	11	0.003098441926345609	0.003600094428706327									
12	TrialState.COMPLETE	0.40582507082152974	2020-01-17 20:59:55.842855	2020-01-17 21:59:43.502797	1.5129398001466754	350.0	31.0	0.0017310986657445636	800.0	0.29448793883584545	0.2731232294617564	0.40582507082152974	0.34481232294617564	0.3714058073654391	5969.29775141643	0.3204054649359694	0.2731232294617564	0.40582507082152974	0.34481232294617564	0.3714058073654391	5969.297592067988	0.3204054650907448	0.2731232294617564	0.40582507082152974	0.34481232294617564	0.3714058073654391	5969.2979107648725	0.32040546478159915	12							0.4044573300283286	0.4052171860245515			
13	TrialState.COMPLETE	0.32838036609283067	2020-01-17 21:59:43.503749	2020-01-17 23:05:55.641259	6.907847276131064	50.0	36.0	0.0026261034657153047	600.0	0.2957263708522939	0.1973060579646982	0.32838036609283067	0.2647908040967531	0.2917302244497712	5994.620308073654	0.24333570374713612	0.1973060579646982	0.32838036609283067	0.2647908040967531	0.2917302244497712	5994.620151449118	0.24333574266245192	0.1973060579646982	0.32838036609283067	0.2647908040967531	0.2917302244497712	5994.620464698191	0.2433356676035891	13											
14	TrialState.COMPLETE	0.35342738929476664	2020-01-17 23:05:55.642815	2020-01-18 00:45:55.062977	9.529575873344712	50.0	41.0	0.0023736206410577524	900.0	0.25960287936948745	0.2077214104666766	0.35342738929476664	0.28408752050096914	0.3143637244669748	5262.165792269271	0.25886947307394337	0.2077214104666766	0.35342738929476664	0.28408752050096914	0.3143637244669748	5262.165619874758	0.2588694732391423	0.2077214104666766	0.35342738929476664	0.28408752050096914	0.3143637244669748	5262.1659646637845	0.2588694729094545	14											
