number	state	value	datetime_start	datetime_complete	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601	901	951
0	TrialState.COMPLETE	0.05140462700661001	2020-01-03 21:48:16.732934	2020-01-03 22:13:19.695545	450.0	11.0	0.009267931694240842	800.0	0.6494141527433053	0.03539109222536985	0.05140462700661001	0.042689644318539506	0.04627006610009443	13165.005085379289	0.041405729916226944	0.03539109222536985	0.05140462700661001	0.042689644318539506	0.04627006610009443	13165.00373780296	0.04140573016835685	0.03539109222536985	0.05140462700661001	0.042689644318539506	0.04627006610009443	13165.006432955619	0.04140572966531841	0						0.05101679481991097	0.051234950424929177							
1	TrialState.COMPLETE	0.002080382436260623	2020-01-03 22:13:19.696613	2020-01-03 22:20:40.430431	350.0	61.0	0.04376240425779518	700.0	0.8543044234896237	0.0009295325779036828	0.002080382436260623	0.0013279036827195468	0.0014606940509915014	17318.090186791786	0.0015125504738122408	0.0009295325779036828	0.002080382436260623	0.0013279036827195468	0.0014606940509915014	17318.087730169973	0.0015125504855353809	0.0009295325779036828	0.002080382436260623	0.0013279036827195468	0.0014606940509915014	17318.092643413598	0.0015125504620906113	1	0.0015049575070821529	0.0018885741265344666												
2	TrialState.COMPLETE	0.3944446758873521	2020-01-03 22:20:40.431792	2020-01-03 23:07:59.537013	250.0	21.0	0.003155656752060616	800.0	0.3426769896292269	0.18616688885185803	0.3944446758873521	0.3015955674054324	0.3456715547408765	6946.395684052658	0.2591916574568443	0.18616688885185803	0.3944446758873521	0.3015955674054324	0.3456715547408765	6946.39497583736	0.25919165747915046	0.18616688885185803	0.3944446758873521	0.3015955674054324	0.3456715547408765	6946.396392267955	0.2591916574345536	2														
3	TrialState.COMPLETE	0.0009295325779036828	2020-01-03 23:07:59.538276	2020-01-03 23:13:40.190556	50.0	31.0	0.07804795008665733	700.0	0.8880999181035557	0.0002655807365439094	0.0009295325779036828	0.0005311614730878187	0.0007524787535410764	18003.666607648724	0.000711339733666939	0.0002655807365439094	0.0009295325779036828	0.0005311614730878187	0.0007524787535410764	18003.66439447592	0.0007113397413736569	0.0002655807365439094	0.0009295325779036828	0.0005311614730878187	0.0007524787535410764	18003.66882082153	0.0007113397259609173	3	0.0009737960339943342	0.0009442870632672333												
4	TrialState.COMPLETE	0.4571175637393768	2020-01-03 23:13:40.191955	2020-01-03 23:49:22.727588	150.0	1.0	0.0018270915439858963	700.0	0.2403486953202398	0.349775731822474	0.4571175637393768	0.41108356940509916	0.4298394711992446	4871.9550401322	0.3900627049971876	0.349775731822474	0.4571175637393768	0.41108356940509916	0.4298394711992446	4871.954686024552	0.3900627050100692	0.349775731822474	0.4571175637393768	0.41108356940509916	0.4298394711992446	4871.955394239849	0.39006270498431483	4														
5	TrialState.COMPLETE	0.39735537498136275	2020-01-03 23:49:22.728758	2020-01-04 00:40:23.840017	150.0	31.0	0.0037043912131800934	900.0	0.3478582347547567	0.1966042940211719	0.39735537498136275	0.3073374832264798	0.3500447293872074	7051.387435701506	0.26702947321002635	0.1966042940211719	0.39735537498136275	0.3073374832264798	0.3500447293872074	7051.386247577158	0.26702947324208004	0.1966042940211719	0.39735537498136275	0.3073374832264798	0.3500447293872074	7051.388623825854	0.2670294731780019	5														
6	TrialState.COMPLETE	0.4121533472491427	2020-01-04 00:40:23.841065	2020-01-04 01:47:11.997560	350.0	91.0	0.0010810801696987365	900.0	0.44413965233340796	0.14229536305352616	0.4121533472491427	0.3082227523482928	0.36083569405099153	9003.467105263158	0.24083713881573207	0.14229536305352616	0.4121533472491427	0.3082227523482928	0.36083569405099153	9003.466024302967	0.24083713893861086	0.14229536305352616	0.4121533472491427	0.3082227523482928	0.36083569405099153	9003.468186223348	0.24083713869326862	6														
7	TrialState.COMPLETE	0.3903764436696448	2020-01-04 01:47:11.998560	2020-01-04 02:26:38.818728	350.0	31.0	0.0026154897099261937	600.0	0.44594663242029203	0.15911691000217912	0.3903764436696448	0.2932692307692308	0.34130529527130093	9039.98142977773	0.2409656480118857	0.15911691000217912	0.3903764436696448	0.2932692307692308	0.34130529527130093	9039.980265308346	0.24096564844994628	0.15911691000217912	0.3903764436696448	0.2932692307692308	0.34130529527130093	9039.982594247113	0.24096564757664807	7														
8	TrialState.COMPLETE	0.2182528873392896	2020-01-04 02:26:38.820329	2020-01-04 03:03:35.183007	250.0	51.0	0.006461026785593442	600.0	0.46965395841019963	0.08832261930703857	0.2182528873392896	0.1484255829156679	0.17848387448245806	9520.42842258662	0.13254925230726486	0.08832261930703857	0.2182528873392896	0.1484255829156679	0.17848387448245806	9520.426182174766	0.13254925247254792	0.08832261930703857	0.2182528873392896	0.1484255829156679	0.17848387448245806	9520.430662998475	0.132549252142346	8														
