number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.feature_map_dropout	params_model.input_dropout	params_model.output_channels	params_model.output_dropout	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_failure	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	system_attrs_fail_reason	state
0	0.9218164794007491	2020-05-16 04:28:57.338456	2020-05-16 05:35:32.446126	64	0.40161248698140606	0.12738620711073595	58	0.2953038669643527	93	256	0.09048222763680117	0.33286516853932585	0.9218164794007491	0.647003745318352	0.7907303370786517	4.370786516853933	0.5261042165112487	0.33286516853932585	0.9218164794007491	0.647003745318352	0.7907303370786517	4.370786516853933	0.5261042165112487		2801428461.0	900.0	0.33286516853932585	0.9218164794007491	0.647003745318352	0.7907303370786517	4.370786516853933	0.5261042165112487	0		COMPLETE
1	0.9400749063670412	2020-05-16 05:35:32.495086	2020-05-16 06:16:42.294023	128	0.28038521896313906	0.24651563041635977	62	0.028611267686365627	76	128	0.0860078757330566	0.33239700374531833	0.9400749063670412	0.6769662921348315	0.8132022471910112	4.143258426966292	0.5339858013904214	0.33239700374531833	0.9400749063670412	0.6769662921348315	0.8132022471910112	4.143258426966292	0.5339858013904214		2210057885.0	400.0	0.33239700374531833	0.9400749063670412	0.6769662921348315	0.8132022471910112	4.143258426966292	0.5339858013904214	1		COMPLETE
2		2020-05-16 06:16:42.323644	2020-05-16 06:16:43.207572	256	0.4200616883756908	0.3112677390599534	53	0.2704985088055194	90	512														The current model can't be trained on this hardware with these parameters.									2	Setting status of trial#2 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
3	0.7907303370786517	2020-05-16 06:16:43.274218	2020-05-16 06:25:56.519994	64	0.24590544854839919	0.016416014462812323	17	0.28016005691124135	45	128	0.14611429355476988	0.1605805243445693	0.7907303370786517	0.38717228464419473	0.5449438202247191	7.044943820224719	0.33859902870344183	0.1605805243445693	0.7907303370786517	0.38717228464419473	0.5449438202247191	7.044943820224719	0.33859902870344183		3140683173.0	300.0	0.1605805243445693	0.7907303370786517	0.38717228464419473	0.5449438202247191	7.044943820224719	0.33859902870344183	3		COMPLETE
4	0.9559925093632958	2020-05-16 06:25:56.548480	2020-05-16 06:47:23.136526	64	0.07335916520892166	0.3779534956853442	28	0.0626799934191199	38	256	0.07159228266952804	0.41853932584269665	0.9559925093632958	0.7495318352059925	0.8623595505617978	3.447565543071161	0.6053543259086693	0.41853932584269665	0.9559925093632958	0.7495318352059925	0.8623595505617978	3.447565543071161	0.6053543259086693		2814196550.0	750.0	0.41853932584269665	0.9559925093632958	0.7495318352059925	0.8623595505617978	3.447565543071161	0.6053543259086693	4		COMPLETE
5		2020-05-16 06:47:23.163817	2020-05-16 06:47:24.602770	256	0.27180842540821065	0.18570409840742458	50	0.471940078687106	95	256														The current model can't be trained on this hardware with these parameters.									5	Setting status of trial#5 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
6	0.9129213483146067	2020-05-16 06:47:24.645693	2020-05-16 07:03:46.910327	256	0.3432197924747677	0.4349767336758877	39	0.2354002854960759	17	128	0.09461000350858556	0.33192883895131087	0.9129213483146067	0.6666666666666666	0.7949438202247191	4.5767790262172285	0.5296991249670558	0.33192883895131087	0.9129213483146067	0.6666666666666666	0.7949438202247191	4.5767790262172285	0.5296991249670558		228168541.0	300.0	0.33192883895131087	0.9129213483146067	0.6666666666666666	0.7949438202247191	4.5767790262172285	0.5296991249670558	6		COMPLETE
7	0.9569288389513109	2020-05-16 07:03:46.938979	2020-05-16 07:49:49.437569	128	0.1567977891536091	0.46037545807817026	46	0.00215356130706712	83	128	0.07181297752078386	0.41853932584269665	0.9569288389513109	0.7546816479400749	0.8740636704119851	3.4700374531835205	0.6095513864725579	0.41853932584269665	0.9569288389513109	0.7546816479400749	0.8740636704119851	3.4700374531835205	0.6095513864725579		3346980750.0	500.0	0.41853932584269665	0.9569288389513109	0.7546816479400749	0.8740636704119851	3.4700374531835205	0.6095513864725579	7		COMPLETE
8		2020-05-16 07:49:49.468589	2020-05-16 07:49:50.369278	256	0.1404893751157476	0.28653892984932083	49	0.043515393406039216	90	512														The current model can't be trained on this hardware with these parameters.									8	Setting status of trial#8 as TrialState.FAIL because the returned value from the objective function cannot be casted to float. Returned value is: None	FAIL
9	0.9555243445692884	2020-05-16 07:49:50.389997	2020-05-16 07:52:04.596608	64	0.4960210294177477	0.11080236618820777	38	0.05017696394766907	1	512	0.0757578185206621	0.35908239700374533	0.9555243445692884	0.7097378277153558	0.8473782771535581	3.656367041198502	0.5627028773620938	0.35908239700374533	0.9555243445692884	0.7097378277153558	0.8473782771535581	3.656367041198502	0.5627028773620938		3274502777.0	350.0	0.35908239700374533	0.9555243445692884	0.7097378277153558	0.8473782771535581	3.656367041198502	0.5627028773620938	9		COMPLETE
