number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.relation_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0945692883895131	2020-03-16 13:40:40.633580	2020-03-16 13:40:58.930284	64	256	1	0.09787127439486076	128	0.6046704157839091	1.0033420596885658	0.0	0.0945692883895131	0.018726591760299626	0.046348314606741575	48.43398876404494	0.043907553895886055	0.0	0.0945692883895131	0.018726591760299626	0.046348314606741575	48.43398876404494	0.043907553895886055	2517910425	150	0.0	0.0945692883895131	0.018726591760299626	0.046348314606741575	48.43398876404494	0.043907553895886055	0	COMPLETE
1	0.08661048689138577	2020-03-16 13:40:58.963728	2020-03-16 13:41:15.799851	64	128	1	0.0029545569830633275	128	0.13893887131759364	1.0260435528617198	0.0	0.08661048689138577	0.014044943820224719	0.031835205992509365	49.51053370786517	0.039870031652206823	0.0	0.08661048689138577	0.014044943820224719	0.031835205992509365	49.510299625468164	0.039870287479963115	3834629519	150	0.0	0.08661048689138577	0.014044943820224719	0.031835205992509365	49.51076779026217	0.039869784076958806	1	COMPLETE
2	0.0898876404494382	2020-03-16 13:41:15.827645	2020-03-16 13:41:32.008816	64	128	2	0.006515350605963525	128	0.0686982111364654	1.017333385452614	0.0	0.0898876404494382	0.02200374531835206	0.041666666666666664	49.06975655430712	0.043720280688549565	0.0	0.0898876404494382	0.02200374531835206	0.041666666666666664	49.06975655430712	0.043720280688549565	1268980964	150	0.0	0.0898876404494382	0.02200374531835206	0.041666666666666664	49.06975655430712	0.043720280688549565	2	COMPLETE
3	0.09691011235955056	2020-03-16 13:41:32.050782	2020-03-16 13:41:48.828562	64	64	2	0.025815986843507284	128	0.0014512268412823735	0.9993459423114494	0.0	0.09691011235955056	0.023876404494382022	0.04588014981273408	48.26310861423221	0.04485055865318388	0.0	0.09691011235955056	0.023876404494382022	0.04588014981273408	48.26310861423221	0.04485055865318388	2705394007	150	0.0	0.09691011235955056	0.023876404494382022	0.04588014981273408	48.26310861423221	0.04485055865318388	3	COMPLETE
4	0.09222846441947566	2020-03-16 13:41:48.858316	2020-03-16 13:42:01.972598	128	256	2	0.003031591232794859	256	0.1692346566866018	1.0202425688780732	0.0	0.09222846441947566	0.018258426966292134	0.04260299625468165	49.25421348314607	0.04345561966769343	0.0	0.09222846441947566	0.018258426966292134	0.04260299625468165	49.25421348314607	0.04345561966769343	3657449698	150	0.0	0.09222846441947566	0.018258426966292134	0.04260299625468165	49.25421348314607	0.04345561966769343	4	COMPLETE
5	0.11329588014981273	2020-03-16 13:42:01.998087	2020-03-16 13:42:15.694660	256	256	2	0.0331871547686496	256	0.6450692255030591	0.9783881286417278	0.0	0.11329588014981273	0.027153558052434457	0.054775280898876406	47.22986891385768	0.04839698369981687	0.0	0.11329588014981273	0.027153558052434457	0.054775280898876406	47.22986891385768	0.04839698369981687	4139341965	150	0.0	0.11329588014981273	0.027153558052434457	0.054775280898876406	47.22986891385768	0.04839698369981687	5	COMPLETE
6	0.10065543071161048	2020-03-16 13:42:15.725593	2020-03-16 13:42:28.108308	256	128	1	0.0027474675219129846	256	0.30421143687956836	0.9845558514501133	0.0	0.10065543071161048	0.01544943820224719	0.04400749063670412	47.50514981273408	0.044480316465028126	0.0	0.10065543071161048	0.01544943820224719	0.04400749063670412	47.50514981273408	0.044480316465028126	2249136086	150	0.0	0.10065543071161048	0.01544943820224719	0.04400749063670412	47.50514981273408	0.044480316465028126	6	COMPLETE
7	0.07911985018726592	2020-03-16 13:42:28.130799	2020-03-16 13:42:40.720023	64	256	1	0.020312316025049567	256	0.012315024957553673	1.0051604663736924	0.0	0.07911985018726592	0.017322097378277154	0.0299625468164794	48.43211610486891	0.04075700328203092	0.0	0.07911985018726592	0.017322097378277154	0.0299625468164794	48.43211610486891	0.04075700328203092	2016170689	150	0.0	0.07911985018726592	0.017322097378277154	0.0299625468164794	48.43211610486891	0.04075700328203092	7	COMPLETE
8	0.09597378277153558	2020-03-16 13:42:40.746924	2020-03-16 13:42:54.306203	128	256	1	0.0012326603131832983	256	0.015490757923231985	1.0078963603691828	0.0	0.09597378277153558	0.019662921348314606	0.041666666666666664	48.60299625468165	0.043832612047014934	0.0	0.09597378277153558	0.019662921348314606	0.041666666666666664	48.60299625468165	0.043832612047014934	336590564	150	0.0	0.09597378277153558	0.019662921348314606	0.041666666666666664	48.60299625468165	0.043832612047014934	8	COMPLETE
9	0.10159176029962547	2020-03-16 13:42:54.332707	2020-03-16 13:43:07.172705	128	256	1	0.09211156732593541	256	0.41905533189841854	1.0173966145484747	0.0	0.10159176029962547	0.02247191011235955	0.04541198501872659	49.09550561797753	0.044196059700977265	0.0	0.10159176029962547	0.02247191011235955	0.04541198501872659	49.09550561797753	0.044196059700977265	1552273547	150	0.0	0.10159176029962547	0.02247191011235955	0.04541198501872659	49.09550561797753	0.044196059700977265	9	COMPLETE
