number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number
0	TrialState.COMPLETE	0.0339943342776204	2019-12-20 11:48:41.539926	2019-12-20 13:32:58.360652	0.5294932199395233	9.800045151815489	250.0	1	70.0	0.01724338535636012	900.0	1.0221520044886	0.000708215297450425	0.0339943342776204	0.023371104815864022	0.02779745042492918	20722.05285056657	0.01424433729999949	0.000708215297450425	0.0339943342776204	0.023371104815864022	0.02779745042492918	20722.03930594901	0.01424433747313296	0.000708215297450425	0.0339943342776204	0.023371104815864022	0.02779745042492918	20722.066395184134	0.014244337126919054	0
1	TrialState.COMPLETE	0.01929886685552408	2019-12-20 13:32:58.361701	2019-12-20 15:43:31.953530	0.554390198296655	12.29270315000697	250.0	2	30.0	0.0013887138971588877	1000.0	0.7673811738444501	0.005488668555240793	0.01929886685552408	0.008675637393767706	0.011508498583569405	15555.46591713881	0.01060856312939051	0.005488668555240793	0.01929886685552408	0.008675637393767706	0.011508498583569405	15555.390403682719	0.01060860879076858	0.005488668555240793	0.01929886685552408	0.008675637393767706	0.011508498583569405	15555.541430594902	0.010608518410496733	1
2	TrialState.COMPLETE	0.05081444759206799	2019-12-20 15:43:31.954615	2019-12-20 17:46:17.839192	0.2617545416242413	12.669999814246646	450.0	1	50.0	0.02805962295261242	600.0	1.1024290597293906	0.000708215297450425	0.05081444759206799	0.041961756373937675	0.04603399433427762	22350.592510623228	0.02237082699269834	0.000708215297450425	0.05081444759206799	0.041961756373937675	0.04603399433427762	22350.58162181303	0.022370827241971238	0.000708215297450425	0.05081444759206799	0.041961756373937675	0.04603399433427762	22350.60339943343	0.022370826743597205	2
3	TrialState.COMPLETE	0.4890226628895184	2019-12-20 17:46:17.840314	2019-12-20 20:07:10.004804	0.11936628978465355	11.348614396400377	350.0	1	50.0	0.0011784980896332546	800.0	0.057751992847802455	0.009206798866855524	0.4890226628895184	0.317457507082153	0.39996458923512745	1170.2975389518413	0.1878944453292055	0.009206798866855524	0.4890226628895184	0.317457507082153	0.39996458923512745	1170.297273371105	0.18789444533094077	0.009206798866855524	0.4890226628895184	0.317457507082153	0.39996458923512745	1170.2978045325779	0.1878944453274703	3
4	TrialState.COMPLETE	0.01788243626062323	2019-12-20 20:07:10.005908	2019-12-20 22:07:10.144481	0.2329035274310782	9.769101364573473	250.0	2	20.0	0.0012348137349244435	900.0	0.6745704002068331	0.003718130311614731	0.01788243626062323	0.007790368271954674	0.011154390934844192	13673.269564447592	0.009305159965667546	0.003718130311614731	0.01788243626062323	0.007790368271954674	0.011154390934844192	13673.214058073654	0.00930519206742735	0.003718130311614731	0.01788243626062323	0.007790368271954674	0.011154390934844192	13673.32507082153	0.00930512826874543	4
5	TrialState.COMPLETE	0.022839943342776205	2019-12-20 22:07:10.145543	2019-12-20 23:49:50.954335	0.6625468542600945	1.629519001176212	250.0	2	10.0	0.03504999605041934	700.0	0.8839449738071952	0.003718130311614731	0.022839943342776205	0.013101983002832862	0.01682011331444759	17920.053470254956	0.01083487370081926	0.003718130311614731	0.022839943342776205	0.013101983002832862	0.01682011331444759	17920.047273371103	0.01083487382213852	0.003718130311614731	0.022839943342776205	0.013101983002832862	0.01682011331444759	17920.05966713881	0.010834873579585085	5
6	TrialState.COMPLETE	0.01363314447592068	2019-12-20 23:49:50.955404	2019-12-21 01:06:06.799189	0.20319242470522958	8.084658343928112	150.0	2	20.0	0.04908517163798283	700.0	0.8912718021056033	0.0030099150141643057	0.01363314447592068	0.0060198300283286115	0.008675637393767706	18067.68599504249	0.006960565959229595	0.0030099150141643057	0.01363314447592068	0.0060198300283286115	0.008675637393767706	18067.65633852691	0.006960566550136057	0.0030099150141643057	0.01363314447592068	0.0060198300283286115	0.008675637393767706	18067.715651558072	0.0069605653687887506	6
7	TrialState.COMPLETE	0.014164305949008499	2019-12-21 01:06:06.800269	2019-12-21 02:51:29.203912	0.4078604186529048	1.718407445283771	350.0	1	50.0	0.0030356796670586296	600.0	0.7666419474361899	0.000708215297450425	0.014164305949008499	0.007436260623229462	0.009560906515580737	15538.995662181303	0.006444091433379813	0.000708215297450425	0.014164305949008499	0.007436260623229462	0.009560906515580737	15538.991324362607	0.006444091634702139	0.000708215297450425	0.014164305949008499	0.007436260623229462	0.009560906515580737	15539.0	0.006444091232268997	7
8	TrialState.COMPLETE	0.022839943342776205	2019-12-21 02:51:29.205685	2019-12-21 04:55:17.459313	0.4788796859241089	22.568939441646584	50.0	1	80.0	0.011850657139839613	1000.0	0.23275737406801347	0.003186968838526912	0.022839943342776205	0.00796742209631728	0.011154390934844192	4718.582507082153	0.011815310468228929	0.003186968838526912	0.022839943342776205	0.00796742209631728	0.011154390934844192	4718.578080736544	0.011815312654526443	0.003186968838526912	0.022839943342776205	0.00796742209631728	0.011154390934844192	4718.586933427762	0.011815308289216675	8
