number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351
0	TrialState.COMPLETE	0.0029656515580736543	2020-01-04 14:01:46.413794	2020-01-04 14:06:55.898169	2.792501254968874	350.0	1	1.0	0.010899289079275365	1100.0	0.9019185047003719	0.000708215297450425	0.0029656515580736543	0.0016820113314447592	0.0019475920679886685	18284.483445467424	0.0017946707213341375	0.000708215297450425	0.0029656515580736543	0.0016820113314447592	0.0019475920679886685	18284.463703966005	0.0017946715222157505	0.000708215297450425	0.0029656515580736543	0.0016820113314447592	0.0019475920679886685	18284.50318696884	0.0017946699224689773	0	0.002213172804532578	0.0027148253068932956					
1	TrialState.COMPLETE	0.007657577903682719	2020-01-04 14:06:55.899229	2020-01-04 14:24:44.383572	1.706095689794182	350.0	1	41.0	0.003286654065286224	2000.0	0.7894737595412082	0.000708215297450425	0.007657577903682719	0.002080382436260623	0.004647662889518413	16003.35258055949	0.0033172138483357583	0.000708215297450425	0.007657577903682719	0.002080382436260623	0.004647662889518413	16003.3359375	0.003317216368691769	0.000708215297450425	0.007657577903682719	0.002080382436260623	0.004647662889518413	16003.36922361898	0.0033172113400747084	1					0.006373937677053824	0.007107446377984622	
2	TrialState.COMPLETE	0.000708215297450425	2020-01-04 14:24:44.384344	2020-01-04 14:29:21.464786	3.662187300686448	150.0	2	21.0	0.001823500739826993	1900.0	0.9816393014487367	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	19901.024610481585	0.0009623187202719595	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	19901.007834631728	0.0009623190993845127	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	19901.041386331446	0.0009623183414071518	2	0.000708215297450425	0.000708215297450425					
3	TrialState.COMPLETE	0.006879805746661271	2020-01-04 14:29:21.465898	2020-01-04 14:39:51.148106	8.957670631954928	150.0	1	6.0	0.02027247808612694	700.0	0.7729338001124282	0.000708215297450425	0.006879805746661271	0.002124645892351275	0.003718130311614731	15668.018653885067	0.0029253639305715745	0.000708215297450425	0.006879805746661271	0.002124645892351275	0.003718130311614731	15668.010066774585	0.002925364207352153	0.000708215297450425	0.006879805746661271	0.002124645892351275	0.003718130311614731	15668.027240995549	0.0029253636541050274	3				0.005524079320113315	0.0063149197355996224		
4	TrialState.COMPLETE	0.0010180594900849858	2020-01-04 14:39:51.148897	2020-01-04 14:44:21.021459	2.613902297725824	50.0	1	46.0	0.013942357777088079	1900.0	0.9092843833909876	0.000708215297450425	0.0010180594900849858	0.0008410056657223796	0.0008852691218130312	18433.173424220964	0.0010751000000383839	0.000708215297450425	0.0010180594900849858	0.0008410056657223796	0.0008852691218130312	18433.168422450424	0.0010751000541674837	0.000708215297450425	0.0010180594900849858	0.0008410056657223796	0.0008852691218130312	18433.1784259915	0.001075099945928167	4	0.0009737960339943342	0.0010033050047214354					
5	TrialState.COMPLETE	0.000708215297450425	2020-01-04 14:44:21.022423	2020-01-04 14:48:33.985513	4.946175340330115	50.0	2	16.0	0.0019594134600324016	1800.0	0.9759070119535237	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	19784.55048247167	0.0009437874071151868	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	19784.539704320112	0.0009437876021811619	0.000708215297450425	0.000708215297450425	0.000708215297450425	0.000708215297450425	19784.561260623228	0.000943787212197804	5	0.000708215297450425	0.000708215297450425					
6	TrialState.COMPLETE	0.014297096317280454	2020-01-04 14:48:33.986609	2020-01-04 15:08:08.877595	7.866140129561676	450.0	1	26.0	0.012073863834898951	1200.0	0.6689303208559801	0.000708215297450425	0.014297096317280454	0.004027974504249292	0.007391997167138811	13558.959000973797	0.00519330967232638	0.000708215297450425	0.014297096317280454	0.004027974504249292	0.007391997167138811	13558.94495839235	0.005193312476037208	0.000708215297450425	0.014297096317280454	0.004027974504249292	0.007391997167138811	13558.973043555241	0.005193306877888354	6					0.012983947119924457	0.013734318089842169	
7	TrialState.COMPLETE	0.012671995143666532	2020-01-04 15:08:08.879111	2020-01-04 15:20:12.093412	9.54295118383558	250.0	1	21.0	0.055510000065591265	600.0	0.6356107925431476	0.000708215297450425	0.012671995143666532	0.0042745851881829215	0.007082152974504249	12883.232964892755	0.004991899285652854	0.000708215297450425	0.012671995143666532	0.0042745851881829215	0.007082152974504249	12883.221266693647	0.004991901148240304	0.000708215297450425	0.012671995143666532	0.0042745851881829215	0.007082152974504249	12883.244663091866	0.004991897427786925	7				0.01306657223796034	0.012836402266288951		
8	TrialState.COMPLETE	0.012504426345609065	2020-01-04 15:20:12.094505	2020-01-04 15:36:54.538088	6.595257981006255	350.0	2	16.0	0.0029770035753493725	500.0	0.9081519330940022	0.000708215297450425	0.012504426345609065	0.003917315864022663	0.006905099150141643	18410.6711667847	0.004527352218774052	0.000708215297450425	0.012504426345609065	0.003917315864022663	0.006905099150141643	18410.648238314447	0.004527353020679774	0.000708215297450425	0.012504426345609065	0.003917315864022663	0.006905099150141643	18410.694095254956	0.0045273514188999145	8					0.011124881964117091	0.011913193039255362	
