number	value	datetime_start	datetime_complete	params_loss.margin	params_model.embedding_dim	params_model.scoring_fct_norm	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.2701310861423221	2020-04-10 17:25:36.719132	2020-04-10 17:27:40.066457	3.1936375714698575	256	2	49	128	0.6850067707561723	0.035580524344569285	0.2701310861423221	0.10205992509363296	0.1544943820224719	32.99789325842696	0.11442768897386338	0.035580524344569285	0.2701310861423221	0.10205992509363296	0.1549625468164794	32.99765917602996	0.11443620106102714	783051908	300.0	0.035580524344569285	0.2701310861423221	0.10205992509363296	0.1544943820224719	32.99812734082397	0.11442059556789355	0	COMPLETE
1	0.7045880149812734	2020-04-10 17:27:40.099001	2020-04-10 17:28:49.714595	3.758172063784195	128	1	75	512	0.2065766897847813	0.09129213483146068	0.7045880149812734	0.35767790262172283	0.5215355805243446	10.009831460674157	0.2844296831364962	0.09129213483146068	0.7045880149812734	0.35767790262172283	0.5215355805243446	10.009831460674157	0.2844296831364962	3793642981	450.0	0.09129213483146068	0.7045880149812734	0.35767790262172283	0.5215355805243446	10.009831460674157	0.2844296831364962	1	COMPLETE
2	0.26217228464419473	2020-04-10 17:28:49.746570	2020-04-10 17:29:23.500214	2.1678607377027164	64	2	50	512	0.673159205626822	0.03932584269662921	0.26217228464419473	0.10533707865168539	0.15355805243445692	32.42275280898876	0.1176522901861002	0.03932584269662921	0.26217228464419473	0.10533707865168539	0.15355805243445692	32.42275280898876	0.1176522901861002	1291273079	250.0	0.03932584269662921	0.26217228464419473	0.10533707865168539	0.15355805243445692	32.42275280898876	0.1176522901861002	2	COMPLETE
3	0.650749063670412	2020-04-10 17:29:23.527290	2020-04-10 17:29:58.964370	6.059954411781794	128	1	76	512	0.2554239171987909	0.15262172284644196	0.650749063670412	0.37453183520599254	0.4859550561797753	12.331460674157304	0.3141378108322297	0.15262172284644196	0.650749063670412	0.37453183520599254	0.4859550561797753	12.331460674157304	0.3141378108322297	4143120566	250.0	0.15262172284644196	0.650749063670412	0.37453183520599254	0.4859550561797753	12.331460674157304	0.3141378108322297	3	COMPLETE
4	0.6886704119850188	2020-04-10 17:29:58.991424	2020-04-10 17:31:35.274987	6.894341465167884	256	1	39	128	0.22109324909478062	0.1348314606741573	0.6886704119850188	0.40262172284644193	0.5280898876404494	10.668539325842696	0.3180278954818815	0.1348314606741573	0.6886704119850188	0.40262172284644193	0.5280898876404494	10.668539325842696	0.3180278954818815	166031748	250.0	0.1348314606741573	0.6886704119850188	0.40262172284644193	0.5280898876404494	10.668539325842696	0.3180278954818815	4	COMPLETE
5	0.2607677902621723	2020-04-10 17:31:35.296122	2020-04-10 17:32:16.634200	7.4259559829830435	256	2	99	512	0.6810623228511589	0.04868913857677903	0.2607677902621723	0.09831460674157304	0.14934456928838952	32.809925093632955	0.12004788860244675	0.04868913857677903	0.2607677902621723	0.09831460674157304	0.14934456928838952	32.809925093632955	0.12004788860244675	72663843	250.0	0.04868913857677903	0.2607677902621723	0.09831460674157304	0.14934456928838952	32.809925093632955	0.12004788860244675	5	COMPLETE
6	0.6179775280898876	2020-04-10 17:32:16.661961	2020-04-10 17:32:46.711698	8.57713049456651	128	1	8	512	0.2902923813891991	0.1348314606741573	0.6179775280898876	0.3595505617977528	0.4653558052434457	13.947097378277153	0.29483424538526326	0.1348314606741573	0.6179775280898876	0.3595505617977528	0.4653558052434457	13.947097378277153	0.29483424538526326	2665299141	250.0	0.1348314606741573	0.6179775280898876	0.3595505617977528	0.4653558052434457	13.947097378277153	0.29483424538526326	6	COMPLETE
7	0.7303370786516854	2020-04-10 17:32:46.768397	2020-04-10 17:34:17.708188	2.971211828712894	128	1	18	128	0.19878668087091617	0.07069288389513109	0.7303370786516854	0.37734082397003743	0.5365168539325843	9.624063670411985	0.27949634418509806	0.07069288389513109	0.7303370786516854	0.37734082397003743	0.5365168539325843	9.624063670411985	0.27949634418509806	3617392915	250.0	0.07069288389513109	0.7303370786516854	0.37734082397003743	0.5365168539325843	9.624063670411985	0.27949634418509806	7	COMPLETE
8	0.699438202247191	2020-04-10 17:34:17.740542	2020-04-10 17:35:38.997101	6.88759459955524	256	1	80	128	0.21938041913452164	0.15168539325842698	0.699438202247191	0.40823970037453183	0.5332397003745318	10.578183520599252	0.32979393089317	0.15168539325842698	0.699438202247191	0.40823970037453183	0.5332397003745318	10.578183520599252	0.32979393089317	1040771831	200.0	0.15168539325842698	0.699438202247191	0.40823970037453183	0.5332397003745318	10.578183520599252	0.32979393089317	8	COMPLETE
9	0.651685393258427	2020-04-10 17:35:39.023341	2020-04-10 17:36:08.280489	5.815045670854633	128	1	5	512	0.255212835276025	0.14559925093632958	0.651685393258427	0.3806179775280899	0.4948501872659176	12.292134831460674	0.312762785495695	0.14559925093632958	0.651685393258427	0.3806179775280899	0.4948501872659176	12.292134831460674	0.312762785495695	4019645173	250.0	0.14559925093632958	0.651685393258427	0.3806179775280899	0.4948501872659176	12.292134831460674	0.312762785495695	9	COMPLETE
