number	state	value	datetime_start	datetime_complete	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	regularizer.weight	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301
0	TrialState.COMPLETE	8.852691218130312e-05	2019-12-29 11:11:50.167938	2019-12-29 11:51:08.206391	350.0	41.0	0.06714077639849622	0.0017321427754531872	500.0	1.0068663806875273	0.0	8.852691218130312e-05	8.852691218130312e-05	8.852691218130312e-05	20412.444803470255	0.0002303818742560827	0.0	8.852691218130312e-05	8.852691218130312e-05	8.852691218130312e-05	20412.44462641643	0.00023038187570168403	0.0	8.852691218130312e-05	8.852691218130312e-05	8.852691218130312e-05	20412.44498052408	0.0002303818728106638	0	0.0	5.901794145420208e-05				
1	TrialState.COMPLETE	0.00017705382436260624	2019-12-29 11:51:08.207237	2019-12-29 12:12:01.696335	250.0	11.0	0.06430506302324043	0.00809264523457591	700.0	1.0033883300055046	0.0	0.00017705382436260624	4.426345609065156e-05	4.426345609065156e-05	20341.929709631728	0.00022047904735813682	0.0	0.00017705382436260624	4.426345609065156e-05	4.426345609065156e-05	20341.92957684136	0.00022047904833244497	0.0	0.00017705382436260624	4.426345609065156e-05	4.426345609065156e-05	20341.929842422098	0.00022047904638400486	1	0.00017705382436260624	0.00017705382436260624				
2	TrialState.COMPLETE	0.0005754249291784702	2019-12-29 12:12:01.697282	2019-12-29 12:25:28.009791	50.0	21.0	0.03039268705212312	0.0006904007580149168	500.0	0.9947334575668306	0.0	0.0005754249291784702	4.426345609065156e-05	0.0002655807365439094	20166.446950247875	0.00028466224485600004	0.0	0.0005754249291784702	4.426345609065156e-05	0.0002655807365439094	20166.44679532578	0.0002846626064811647	0.0	0.0005754249291784702	4.426345609065156e-05	0.0002655807365439094	20166.447105169973	0.0002846618842589428	2	0.0009737960339943342	0.000708215297450425				
3	TrialState.COMPLETE	0.0004426345609065156	2019-12-29 12:25:28.010822	2019-12-29 12:41:36.216541	150.0	11.0	0.0022923805732490456	0.006990866184744252	800.0	0.9966586239766408	8.852691218130312e-05	0.0004426345609065156	0.0002655807365439094	0.0003098441926345609	20205.697282223795	0.0003475354028349595	8.852691218130312e-05	0.0004426345609065156	0.0002655807365439094	0.0003098441926345609	20205.69714943343	0.00034753540316377683	8.852691218130312e-05	0.0004426345609065156	0.0002655807365439094	0.0003098441926345609	20205.697415014165	0.00034753540250616625	3	0.0003541076487252125	0.00041312559017941453				
4	TrialState.COMPLETE	0.4682483474976393	2019-12-29 12:41:36.217474	2019-12-29 16:46:07.742526	350.0	11.0	0.0010241197322397708	0.00016847876378934932	1000.0	0.2056732385472479	0.32662215027654123	0.4682483474976393	0.4142047753945771	0.4384442870632672	4169.074337312829	0.3806523137418531	0.32662215027654123	0.4682483474976393	0.4142047753945771	0.4384442870632672	4169.073797720222	0.38065233487340194	0.32662215027654123	0.4682483474976393	0.4142047753945771	0.4384442870632672	4169.074876905436	0.380652293997942	4						
5	TrialState.COMPLETE	0.0002655807365439094	2019-12-29 16:46:07.743345	2019-12-29 17:09:17.970761	150.0	51.0	0.02068681008840143	0.08130932197541423	900.0	1.0042411412684142	0.0	0.0002655807365439094	4.426345609065156e-05	0.00017705382436260624	20359.133410056656	0.0003067035753516284	0.0	0.0002655807365439094	4.426345609065156e-05	0.00017705382436260624	20359.133321529745	0.0003067035755673622	0.0	0.0002655807365439094	4.426345609065156e-05	0.00017705382436260624	20359.13349858357	0.00030670357513590615	5	0.0003541076487252125	0.0002950897072710104				
6	TrialState.COMPLETE	0.0009295325779036828	2019-12-29 17:09:17.971568	2019-12-29 18:10:12.639605	450.0	61.0	0.007930927660449224	0.00015174047392302767	600.0	1.001685686008755	0.0	0.0009295325779036828	0.0002213172804532578	0.0005754249291784702	20307.539483002834	0.0006647545307727793	0.0	0.0009295325779036828	0.0002213172804532578	0.0005754249291784702	20307.539261685553	0.0006647545319108342	0.0	0.0009295325779036828	0.0002213172804532578	0.0005754249291784702	20307.539704320112	0.0006647545296348284	6	0.000796742209631728	0.0008852691218130312				
7	TrialState.COMPLETE	0.0002655807365439094	2019-12-29 18:10:12.640535	2019-12-29 18:37:19.121850	150.0	71.0	0.05440919072266853	0.015175270293903552	700.0	1.0015353159199178	0.0	0.0002655807365439094	4.426345609065156e-05	0.0001327903682719547	20304.368736720964	0.00029161779535454566	0.0	0.0002655807365439094	4.426345609065156e-05	0.0001327903682719547	20304.36862606232	0.00029161779771798686	0.0	0.0002655807365439094	4.426345609065156e-05	0.0001327903682719547	20304.368847379603	0.00029161779299151125	7	0.0003541076487252125	0.0002950897072710104				
8	TrialState.COMPLETE	0.0002655807365439094	2019-12-29 18:37:19.122785	2019-12-29 18:52:00.797606	50.0	51.0	0.003876935099850754	0.00015821701926574817	900.0	0.999627036776102	0.0	0.0002655807365439094	8.852691218130312e-05	0.00017705382436260624	20265.882414128897	0.00039921732598094433	0.0	0.0002655807365439094	8.852691218130312e-05	0.00017705382436260624	20265.882214943344	0.00039921734069008996	0.0	0.0002655807365439094	8.852691218130312e-05	0.00017705382436260624	20265.882613314447	0.0003992173112790652	8	0.0003541076487252125	0.0002950897072710104				
