number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.adversarial_temperature	loss.margin	model.embedding_dim	model.scoring_fct_norm	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501	551	601	651	751	801	901	951	1001	1051
0	TrialState.COMPLETE	0.01195113314447592	2020-01-05 13:42:39.295836	2020-01-05 13:52:31.600311	0.3101736672314337	14.425625703562597	250.0	1	10.0	0.027939045054038082	1500.0	0.800775192931315	0.000708215297450425	0.01195113314447592	0.007834631728045325	0.009472379603399434	16231.60609950425	0.005721740841312508	0.000708215297450425	0.01195113314447592	0.007834631728045325	0.009472379603399434	16231.602735481587	0.005721741256810788	0.000708215297450425	0.01195113314447592	0.007834631728045325	0.009472379603399434	16231.609463526913	0.0057217404265095355	0	0.012924929178470254	0.012275731822474031																	
1	TrialState.COMPLETE	0.38295899096182384	2020-01-05 13:52:31.601525	2020-01-05 15:25:34.826372	0.9678579652294393	19.568822833425756	50.0	2	100.0	0.01466472030741953	1300.0	0.15216621575215356	0.000708215297450425	0.38295899096182384	0.194632739781465	0.28234183191690276	3083.355777013355	0.12868111758138914	0.000708215297450425	0.38295899096182384	0.194632739781465	0.28234183191690276	3083.3544954809117	0.12868112186980557	0.000708215297450425	0.38295899096182384	0.194632739781465	0.28234183191690276	3083.357058545798	0.12868111339026808	1																0.38115029074101686	0.3820998583569405		
2	TrialState.COMPLETE	0.384307972480777	2020-01-05 15:25:34.827877	2020-01-05 17:18:57.834968	0.4501932796083258	4.6271255940287634	150.0	2	70.0	0.004098206055919247	1400.0	0.09497395179898276	0.000708215297450425	0.384307972480777	0.19755834345069473	0.2867260218535006	1924.4512132402535	0.1301350862264175	0.000708215297450425	0.384307972480777	0.19755834345069473	0.2867260218535006	1924.450416498044	0.13013508762563636	0.000708215297450425	0.384307972480777	0.19755834345069473	0.2867260218535006	1924.4520099824633	0.13013508484064645	2																0.3824176233785597	0.3834100566572238		
3	TrialState.COMPLETE	0.21472694365753855	2020-01-05 17:18:57.836382	2020-01-05 17:58:32.524026	0.730482281349967	26.63758050886724	50.0	2	10.0	0.03921826846584518	1000.0	0.16443750658766676	0.000708215297450425	0.21472694365753855	0.10127478753541076	0.1474071451054454	3332.5407420522506	0.07523609178826644	0.000708215297450425	0.21472694365753855	0.10127478753541076	0.1474071451054454	3332.5394830028326	0.07523609307639922	0.000708215297450425	0.21472694365753855	0.10127478753541076	0.1474071451054454	3332.542001101668	0.07523609050718964	3						0.21304633751517604	0.21399167847025496												
4	TrialState.COMPLETE	0.3679296506137866	2020-01-05 17:58:32.525725	2020-01-05 19:44:24.858269	0.1918103874971666	28.304213097085835	450.0	2	100.0	0.009533777833109786	700.0	0.13986860852745941	0.000708215297450425	0.3679296506137866	0.1716123701605288	0.25591359773371103	2834.0741206326725	0.12100673055238628	0.000708215297450425	0.3679296506137866	0.1716123701605288	0.25591359773371103	2834.072592067989	0.12100673250679767	0.000708215297450425	0.3679296506137866	0.1716123701605288	0.25591359773371103	2834.075649197356	0.12100672861369187	4												0.36692362170407494	0.367462565762849						
5	TrialState.COMPLETE	0.027044971671388102	2020-01-05 19:44:24.859705	2020-01-05 20:00:44.095236	0.3482654045831714	9.26475937507644	450.0	1	70.0	0.0013581519535565266	500.0	0.6805041787182446	0.000708215297450425	0.027044971671388102	0.01504957507082153	0.01929886685552408	13793.040943696884	0.011600312183552999	0.000708215297450425	0.027044971671388102	0.01504957507082153	0.01929886685552408	13793.037668201134	0.011600312607132915	0.000708215297450425	0.027044971671388102	0.01504957507082153	0.01929886685552408	13793.044219192634	0.011600311760667954	5	0.028594192634560908	0.02756137865911237																	
6	TrialState.COMPLETE	0.06161473087818697	2020-01-05 20:00:44.096578	2020-01-05 20:12:19.892866	0.65712754374322	16.08494896174044	50.0	1	80.0	0.010092062556275922	1500.0	0.44239915068828434	0.000708215297450425	0.06161473087818697	0.034968130311614734	0.04612252124645892	8966.854373229462	0.024209055821161698	0.000708215297450425	0.06161473087818697	0.034968130311614734	0.04612252124645892	8966.852160056656	0.02420905776120756	0.000708215297450425	0.06161473087818697	0.034968130311614734	0.04612252124645892	8966.856586402266	0.0242090538927638	6	0.07489376770538243	0.06604107648725212																	
7	TrialState.COMPLETE	0.01363314447592068	2020-01-05 20:12:19.894372	2020-01-05 20:28:01.688950	0.5535588514932062	13.60188795199632	450.0	1	30.0	0.014094977543068807	1900.0	0.792101265802192	0.000708215297450425	0.01363314447592068	0.008587110481586403	0.010092067988668555	16055.61061437677	0.006345598737523541	0.000708215297450425	0.01363314447592068	0.008587110481586403	0.010092067988668555	16055.606630665723	0.006345603884360251	0.000708215297450425	0.01363314447592068	0.008587110481586403	0.010092067988668555	16055.61459808782	0.006345593641802808	7	0.01363314447592068	0.01363314447592068																	
8	TrialState.COMPLETE	0.41283504031379387	2020-01-05 20:28:01.690199	2020-01-05 21:57:10.388127	0.7787084508682073	27.130553245762297	450.0	2	100.0	0.00442981394042539	1000.0	0.22257435642650342	0.000708215297450425	0.41283504031379387	0.23436478535628677	0.3244170843320985	4509.366576323818	0.14367365285414757	0.000708215297450425	0.41283504031379387	0.23436478535628677	0.3244170843320985	4509.364199716714	0.14367365587600067	0.000708215297450425	0.41283504031379387	0.23436478535628677	0.3244170843320985	4509.368952930922	0.1436736498643559	8										0.4115052794231264	0.41222556657223797								
9	TrialState.COMPLETE	0.022415014164305948	2020-01-05 21:57:10.390816	2020-01-05 22:14:47.318600	0.742462879822296	2.2299794232651022	50.0	2	70.0	0.07970733149514966	1300.0	0.8214049294253329	0.000708215297450425	0.022415014164305948	0.017917847025495752	0.020042492917847026	16650.47448654391	0.010265711108271737	0.000708215297450425	0.022415014164305948	0.017917847025495752	0.020042492917847026	16650.471848441928	0.010265711374846427	0.000708215297450425	0.022415014164305948	0.017917847025495752	0.020042492917847026	16650.47712464589	0.010265710842152467	9		0.0227219074598678	0.022530099150141644																
10	TrialState.COMPLETE	0.10420882233913395	2020-01-05 22:14:47.320333	2020-01-05 22:46:50.761912	0.11301241344804762	25.444563982625457	250.0	2	50.0	0.03876140220870244	1800.0	0.39479352717954264	0.000708215297450425	0.10420882233913395	0.055873128288142455	0.07782780250910562	8002.036903075678	0.038829807127866045	0.000708215297450425	0.10420882233913395	0.055873128288142455	0.07782780250910562	8002.034095507892	0.03882981424026788	0.000708215297450425	0.10420882233913395	0.055873128288142455	0.07782780250910562	8002.039710643464	0.03882980011954883	10				0.10240793201133144	0.10345845136921625														
11	TrialState.COMPLETE	0.08766693646297045	2020-01-05 22:46:50.772572	2020-01-05 23:15:35.363999	0.8658676822990888	29.343774457406393	50.0	2	90.0	0.07643349564792468	2000.0	0.2979893843102001	0.000708215297450425	0.08766693646297045	0.048462161068393364	0.06366349656009712	6039.8424726831245	0.034472210513174985	0.000708215297450425	0.08766693646297045	0.048462161068393364	0.06366349656009712	6039.840879198705	0.034472210777522515	0.000708215297450425	0.08766693646297045	0.048462161068393364	0.06366349656009712	6039.844066167543	0.034472210249234435	11				0.08611898016997167	0.08702195467422097														
12	TrialState.COMPLETE	0.0226628895184136	2020-01-05 23:15:35.365197	2020-01-05 23:31:01.632817	0.23074235121091458	4.1437886618227395	450.0	1	20.0	0.0015358414407377436	700.0	0.7239415215841501	0.000708215297450425	0.0226628895184136	0.014695467422096316	0.017174220963172806	14673.230944582154	0.01031573541637539	0.000708215297450425	0.0226628895184136	0.014695467422096316	0.017174220963172806	14673.227160056656	0.010315735890453114	0.000708215297450425	0.0226628895184136	0.014695467422096316	0.017174220963172806	14673.23472910765	0.010315734943020209	12	0.034879603399433426	0.02673512747875354																	
13	TrialState.COMPLETE	0.11514936904455318	2020-01-05 23:31:01.634777	2020-01-06 00:38:38.145221	0.6176135010205105	21.896399266048128	450.0	1	10.0	0.001235370392882162	1700.0	0.40828858620024694	0.000708215297450425	0.11514936904455318	0.06486608292557301	0.08637007468452228	8275.307309103786	0.043690310702133806	0.000708215297450425	0.11514936904455318	0.06486608292557301	0.08637007468452228	8275.30458086531	0.04369031132949811	0.000708215297450425	0.11514936904455318	0.06486608292557301	0.08637007468452228	8275.31003734226	0.0436903100765338	13								0.11398331759521561	0.11462464589235127										
14	TrialState.COMPLETE	0.12204067179279644	2020-01-06 00:38:38.146782	2020-01-06 01:08:45.621918	0.5447783478137932	18.037448180469557	150.0	2	80.0	0.040329449035718556	1800.0	0.3643477387469952	0.000708215297450425	0.12204067179279644	0.06386584378794011	0.08865337919870497	7384.794794617564	0.0449227217103282	0.000708215297450425	0.12204067179279644	0.06386584378794011	0.08865337919870497	7384.792239983813	0.044922724176340426	0.000708215297450425	0.12204067179279644	0.06386584378794011	0.08865337919870497	7384.797349251316	0.04492271925839913	14				0.12092776203966006	0.12157695939565628														
15	TrialState.COMPLETE	0.02381373937677054	2020-01-06 01:08:45.623363	2020-01-06 01:24:21.878965	0.12456489420608113	25.549112767010424	450.0	1	30.0	0.010503702415311013	900.0	0.7722015157532655	0.000708215297450425	0.02381373937677054	0.01589058073654391	0.019520184135977336	15651.838150672804	0.01039297363353052	0.000708215297450425	0.02381373937677054	0.01589058073654391	0.019520184135977336	15651.83458746459	0.010392975787840545	0.000708215297450425	0.02381373937677054	0.01589058073654391	0.019520184135977336	15651.84171388102	0.010392971498218688	15	0.03558781869688385	0.027738432483474976																	
16	TrialState.COMPLETE	0.30590474504249293	2020-01-06 01:24:21.880189	2020-01-06 02:34:02.630049	0.4794422005261826	12.643336324867871	350.0	2	50.0	0.013599787727156384	1800.0	0.16145906404152024	0.000708215297450425	0.30590474504249293	0.13740852219074598	0.20901203966005666	3272.142063562323	0.1004687439716431	0.000708215297450425	0.30590474504249293	0.13740852219074598	0.20901203966005666	3272.1404479461758	0.1004687784551103	0.000708215297450425	0.30590474504249293	0.13740852219074598	0.20901203966005666	3272.1436791784704	0.100468711508805	16									0.3047627478753541	0.30538565542106616									
17	TrialState.COMPLETE	0.40833530059804846	2020-01-06 02:34:02.631255	2020-01-06 04:24:44.324953	0.20927998202040218	16.13150680276962	350.0	2	50.0	0.00366141192081006	1900.0	0.1909988659099126	0.000708215297450425	0.40833530059804846	0.2358061850802644	0.3283659899276047	3869.4964195782186	0.1432071402495242	0.000708215297450425	0.40833530059804846	0.2358061850802644	0.3283659899276047	3869.4944031318855	0.14320715077876048	0.000708215297450425	0.40833530059804846	0.2358061850802644	0.3283659899276047	3869.4984360245517	0.14320713008247093	17														0.4069914128895184	0.4077028828528579				
18	TrialState.COMPLETE	0.03638456090651558	2020-01-06 04:24:44.326385	2020-01-06 04:36:14.326064	0.360957481442748	11.818077998725508	50.0	1	50.0	0.01788092380288238	600.0	0.7615408596973223	0.000708215297450425	0.03638456090651558	0.026071175637393768	0.03094015580736544	15435.90963615439	0.015247046191532922	0.000708215297450425	0.03638456090651558	0.026071175637393768	0.03094015580736544	15435.907091005665	0.015247046316585978	0.000708215297450425	0.03638456090651558	0.026071175637393768	0.03094015580736544	15435.912181303116	0.015247046066559408	18	0.0679886685552408	0.046919263456090654																	
19	TrialState.COMPLETE	0.1450464274472773	2020-01-06 04:36:14.334971	2020-01-06 05:17:47.210227	0.10232949466774414	29.833404996228055	150.0	1	60.0	0.0034565950688386373	1700.0	0.29196748397591865	0.000708215297450425	0.1450464274472773	0.07825779036827195	0.10591753226314132	5917.631944444444	0.05358273198825095	0.000708215297450425	0.1450464274472773	0.07825779036827195	0.10591753226314132	5917.629977179729	0.0535827338395117	0.000708215297450425	0.1450464274472773	0.07825779036827195	0.10591753226314132	5917.633911709159	0.05358273015419641	19						0.14480473492513152	0.14494068696883852												
20	TrialState.COMPLETE	0.055019475920679885	2020-01-06 05:17:47.213381	2020-01-06 05:32:31.328152	0.5982534966197074	13.82446808970024	350.0	1	70.0	0.008266049569651731	1100.0	0.7364314897770579	0.000708215297450425	0.055019475920679885	0.03802230878186969	0.04736189801699717	14926.54120927762	0.021976266264033602	0.000708215297450425	0.055019475920679885	0.03802230878186969	0.04736189801699717	14926.53837641643	0.02197626827607547	0.000708215297450425	0.055019475920679885	0.03802230878186969	0.04736189801699717	14926.54404213881	0.021976264263526703	20	0.09711402266288952	0.06905099150141643																	
21	TrialState.COMPLETE	0.010092067988668555	2020-01-06 05:32:31.329954	2020-01-06 05:46:01.092888	0.5765699791409581	23.33169651655917	250.0	1	90.0	0.05906916568844727	1800.0	0.8229866143868715	0.000708215297450425	0.010092067988668555	0.007082152974504249	0.008055949008498584	16682.34715828612	0.00506724499595808	0.000708215297450425	0.010092067988668555	0.007082152974504249	0.008055949008498584	16682.343395892352	0.005067245367283343	0.000708215297450425	0.010092067988668555	0.007082152974504249	0.008055949008498584	16682.350920679888	0.005067244625354386	21	0.011508498583569405	0.010564211520302172																	
22	TrialState.COMPLETE	0.39393434427595403	2020-01-06 05:46:01.094436	2020-01-06 07:48:54.412060	0.9921274268332552	10.858729072766012	450.0	2	40.0	0.0013161495808667878	800.0	0.1703604980373561	0.000708215297450425	0.39393434427595403	0.23757498750208297	0.32419596733877687	3451.341677428762	0.1402182188517973	0.000708215297450425	0.39393434427595403	0.23757498750208297	0.32419596733877687	3451.3399329278454	0.14021821941630128	0.000708215297450425	0.39393434427595403	0.23757498750208297	0.32419596733877687	3451.3434219296782	0.14021821828908268	22																			
23	TrialState.COMPLETE	0.05515226628895184	2020-01-06 07:48:54.413585	2020-01-06 08:05:06.049185	0.44671975216080195	27.09982229385784	450.0	1	60.0	0.0027107304581533145	2000.0	0.7229882707750034	0.000708215297450425	0.05515226628895184	0.04475035410764872	0.049398016997167137	14653.837464589235	0.023920254875016173	0.000708215297450425	0.05515226628895184	0.04475035410764872	0.049398016997167137	14653.833259560906	0.023920257154735523	0.000708215297450425	0.05515226628895184	0.04475035410764872	0.049398016997167137	14653.841669617565	0.02392025260764891	23	0.09737960339943343	0.06922804532577903																	
