number	value	datetime_start	datetime_complete	params_model.dropout_0	params_model.dropout_1	params_model.dropout_2	params_model.embedding_dim	params_model.relation_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0019475920679886685	2020-05-07 13:32:19.935902	2020-05-07 14:11:22.507612	0.2008821294180502	0.20591248882526628	0.45610836629897844	128	64	0.0156264092218112	128	0.4700125881451457	1.0670280610481633	0.00141643059490085	0.0019475920679886685	0.001593484419263456	0.001593484419263456	21632.834189093486	0.001688577229788093	0.00141643059490085	0.0019475920679886685	0.001593484419263456	0.001593484419263456	21632.833392351276	0.0016885772551171042	3105806355	150.0	0.00141643059490085	0.0019475920679886685	0.001593484419263456	0.001593484419263456	21632.834985835692	0.0016885772044683773	0	COMPLETE
1	0.4985835694050991	2020-05-07 14:11:22.555765	2020-05-07 16:46:22.534175	0.2063926074846641	0.2075436824259386	0.1740611975380269	64	128	0.0010966599418987468	128	0.03503953582097937	0.17012578537518655	0.4027974504249292	0.4985835694050991	0.459985835694051	0.4771600566572238	3448.3668555240793	0.43955908910482977	0.4027974504249292	0.4985835694050991	0.459985835694051	0.4771600566572238	3448.366324362606	0.439559089107293	3393095679	650.0	0.4027974504249292	0.4985835694050991	0.459985835694051	0.4771600566572238	3448.3673866855524	0.43955908910236685	1	COMPLETE
2	0.002478753541076487	2020-05-07 16:46:22.579725	2020-05-07 17:14:31.079824	0.4886868798802256	0.4088221238968688	0.2850331967920795	64	256	0.004203060870595781	128	0.011544257825492094	0.8653263058043776	0.0	0.002478753541076487	0.000708215297450425	0.0008852691218130312	17540.984242209634	0.0011444739239577014	0.0	0.002478753541076487	0.000708215297450425	0.0008852691218130312	17540.981586402268	0.0011444739340594526	2629764533	150.0	0.0	0.002478753541076487	0.000708215297450425	0.0008852691218130312	17540.986898016996	0.001144473913856779	2	COMPLETE
3	0.00017705382436260624	2020-05-07 17:14:31.119448	2020-05-07 19:08:48.088350	0.42091986297507855	0.4622803275267244	0.19015554786645136	256	256	0.042803444205414	256	0.2985466661404277	0.9826926577966519	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	19922.35959631728	0.0003814799222674163	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	19922.353753541076	0.00038148002109937687	2587386290	150.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	19922.365439093486	0.00038147982348050205	3	COMPLETE
4	0.0005311614730878187	2020-05-07 19:08:48.137493	2020-05-07 19:57:53.615485	0.11624374317571413	0.10991688702632524	0.28579417054963174	128	256	0.007664189714123859	128	0.01959619756798587	1.0955290989545639	0.0	0.0005311614730878187	0.00017705382436260624	0.00017705382436260624	22210.53461402266	0.00036993310338571126	0.0	0.0005311614730878187	0.00017705382436260624	0.00017705382436260624	22210.532577903683	0.0003699331356646943	41399155	150.0	0.0	0.0005311614730878187	0.00017705382436260624	0.00017705382436260624	22210.536650141643	0.00036993307111544293	4	COMPLETE
5	0.00017705382436260624	2020-05-07 19:57:53.649709	2020-05-07 20:23:22.429459	0.393001059618745	0.2493396055130156	0.16658740695708124	64	64	0.03809040979573119	256	0.0010178240632993992	1.0105260020684035	0.0	0.00017705382436260624	0.0	0.0	20487.03328611898	0.00023970589592419735	0.0	0.00017705382436260624	0.0	0.0	20487.030807365438	0.00023970590091270763	3762758387	150.0	0.0	0.00017705382436260624	0.0	0.0	20487.035764872522	0.00023970589093596085	5	COMPLETE
6	0.000708215297450425	2020-05-07 20:23:22.462751	2020-05-07 21:05:45.178447	0.15233774503690697	0.46582701758453815	0.492368319878267	128	128	0.07002742078868242	256	0.013082227682104127	0.9990457845137387	0.0	0.000708215297450425	0.00017705382436260624	0.0003541076487252125	20254.828523371103	0.0004262235887789332	0.0	0.000708215297450425	0.00017705382436260624	0.0003541076487252125	20254.82595609065	0.00042622368593423036	2847297673	150.0	0.0	0.000708215297450425	0.00017705382436260624	0.0003541076487252125	20254.831090651558	0.0004262234916874445	6	COMPLETE
7	0.0028328611898017	2020-05-07 21:05:45.220810	2020-05-07 21:34:14.951507	0.23046956126254836	0.38073541508096925	0.4618406850575524	64	256	0.008717893939789719	128	0.029490926541943248	0.914563319959322	0.0005311614730878187	0.0028328611898017	0.0017705382436260624	0.0019475920679886685	18539.296122521246	0.0018931236855064394	0.0005311614730878187	0.0028328611898017	0.0017705382436260624	0.0019475920679886685	18539.293732294616	0.0018931237300528338	1143641253	150.0	0.0005311614730878187	0.0028328611898017	0.0017705382436260624	0.0019475920679886685	18539.298512747875	0.0018931236409712923	7	COMPLETE
8	0.0	2020-05-07 21:34:14.989791	2020-05-07 23:28:21.796766	0.3335997963671366	0.19809662515190585	0.4893332086630371	256	256	0.010871083649600639	512	0.12754568586900736	0.9941149549576073	0.0	0.0	0.0	0.0	20153.816395184134	0.00020308850472938343	0.0	0.0	0.0	0.0	20153.811083569406	0.0002030885328428667	1851646948	150.0	0.0	0.0	0.0	0.0	20153.821706798866	0.00020308847661914216	8	COMPLETE
9	0.0005311614730878187	2020-05-07 23:28:21.836947	2020-05-08 01:20:21.299113	0.49133957215658475	0.48032943848866744	0.21071849010140187	256	256	0.024683068754221438	128	0.14240720980227317	0.9936402088103542	0.0003541076487252125	0.0005311614730878187	0.0003541076487252125	0.0003541076487252125	20144.12004249292	0.0005678879465356503	0.0003541076487252125	0.0005311614730878187	0.0003541076487252125	0.0003541076487252125	20144.11242917847	0.000567888046523353	405074376	150.0	0.0003541076487252125	0.0005311614730878187	0.0003541076487252125	0.0003541076487252125	20144.127655807366	0.0005678878466003632	9	COMPLETE
10	0.0	2020-05-08 01:20:21.340025	2020-05-08 02:09:46.935615	0.11733416282947542	0.16386822032689727	0.2857754455592083	128	256	0.05105989064775857	128	0.22478953559169224	1.0086172575770498	0.0	0.0	0.0	0.0	20447.930683427763	0.00021078345231227282	0.0	0.0	0.0	0.0	20447.925460339942	0.00021078350583856814	1453659568	150.0	0.0	0.0	0.0	0.0	20447.93590651558	0.0002107833987977521	10	COMPLETE
11	0.47007790368271957	2020-05-08 02:09:46.977081	2020-05-08 06:22:37.700636	0.2776193283977237	0.13900460995109096	0.42083662987126863	64	64	0.0016959746569559892	256	0.17935069494369657	0.12616065381388306	0.26841359773371104	0.47007790368271957	0.37924929178470257	0.4238668555240793	2557.521954674221	0.33956662622090317	0.26841359773371104	0.47007790368271957	0.37942634560906513	0.4238668555240793	2557.5157577903683	0.33957506276086263	910576931		0.26841359773371104	0.47007790368271957	0.37924929178470257	0.4238668555240793	2557.5281515580737	0.33956029751362854	11	COMPLETE
12	0.00017705382436260624	2020-05-08 06:22:37.736042	2020-05-08 08:16:29.012812	0.17439105348189338	0.20078201895264766	0.19161585417980276	256	256	0.01313488636683393	512	0.1146934163504386	0.9904028337613159	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20078.63544617564	0.00045608355579332914	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20078.629603399433	0.000456083584472325	1405025349	150.0	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	0.00017705382436260624	20078.64128895184	0.0004560835271173587	12	COMPLETE
13	0.0	2020-05-08 08:16:29.051794	2020-05-08 08:43:59.561038	0.34371321195080096	0.21934457738429988	0.2979974412814578	64	256	0.07856478222002142	512	0.10561917772517004	1.0088650210347454	0.0	0.0	0.0	0.0	20453.54222733711	0.0002003103716117606	0.0	0.0	0.0	0.0	20453.541607648724	0.0002003103768115794	4072132031	150.0	0.0	0.0	0.0	0.0	20453.542847025496	0.0002003103664128411	13	COMPLETE
14	0.1021600566572238	2020-05-08 08:43:59.597185	2020-05-08 11:26:35.939953	0.3333969696971871	0.3661897446512289	0.2708967199321446	64	256	0.003973748070247437	256	0.006785315389455934	0.5173131218827431	0.037181303116147306	0.1021600566572238	0.06108356940509915	0.07542492917847025	10484.297627478754	0.05970586816115925	0.037181303116147306	0.1021600566572238	0.06108356940509915	0.07542492917847025	10484.296919263455	0.05970586825472375	95662826	650.0	0.037181303116147306	0.1021600566572238	0.06108356940509915	0.07542492917847025	10484.298335694051	0.05970586806765854	14	COMPLETE
15	0.1221671388101983	2020-05-08 11:26:35.977286	2020-05-08 13:17:51.847466	0.4163635266499308	0.1916145488027861	0.30899524487420016	64	128	0.0024292610501338973	128	0.0028208509444391018	0.3195246497970493	0.046742209631728045	0.1221671388101983	0.07453966005665723	0.09189093484419264	6477.900495750709	0.0721144327410665	0.046742209631728045	0.1221671388101983	0.07453966005665723	0.09189093484419264	6477.8992563739375	0.07211443278841652	3266594796	500.0	0.046742209631728045	0.1221671388101983	0.07453966005665723	0.09189093484419264	6477.901735127479	0.07211443269373412	15	COMPLETE
16	0.00017705382436260624	2020-05-08 13:17:51.884368	2020-05-08 14:43:38.441689	0.3854206678076263	0.3289946238381426	0.41086001063486877	256	128	0.07223139988048653	512	0.005008581372681701	0.9924869408117977	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20120.82586756374	0.0002645728317040599	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20120.820821529745	0.00026457286742633755	3052870328	150.0	0.0	0.00017705382436260624	0.0	0.00017705382436260624	20120.830913597732	0.00026457279598721166	16	COMPLETE
