number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_optimizer.lr	params_regularizer.weight	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.0898876404494382	2020-03-07 01:34:51.702263	2020-03-07 01:35:23.532394	128	1	0.03175233078339095	0.17006996856594267	128	0.685264807616876	1.011831934542887	0.00046816479400749064	0.0898876404494382	0.026685393258426966	0.04400749063670412	48.74110486891386	0.044275933008584324	0.00046816479400749064	0.0898876404494382	0.026685393258426966	0.04400749063670412	48.74110486891386	0.044275933008584324	3745643636	150.0	0.00046816479400749064	0.0898876404494382	0.026685393258426966	0.04400749063670412	48.74110486891386	0.044275933008584324	0	COMPLETE
1	0.09269662921348315	2020-03-07 01:35:23.550762	2020-03-07 01:36:07.282471	128	1	0.01111015365007234	0.1494966567204214	256	0.024926632695241445	0.9950170475284984	0.0	0.09269662921348315	0.02153558052434457	0.04119850187265917	48.03885767790262	0.04382832331064367	0.0	0.09269662921348315	0.02153558052434457	0.04119850187265917	48.03885767790262	0.04382832331064367	4081627882	250.0	0.0	0.09269662921348315	0.02153558052434457	0.04119850187265917	48.03885767790262	0.04382832331064367	1	COMPLETE
2	0.09082397003745318	2020-03-07 01:36:07.300568	2020-03-07 01:36:54.144755	256	2	0.0340364705840391	0.2872419216293755	128	0.14736917020079301	1.014092559725646	0.00046816479400749064	0.09082397003745318	0.020131086142322098	0.04119850187265917	48.90402621722846	0.043212905933305984	0.00046816479400749064	0.09082397003745318	0.020131086142322098	0.04119850187265917	48.90402621722846	0.043212905933305984	2368928509	200.0	0.00046816479400749064	0.09082397003745318	0.020131086142322098	0.04119850187265917	48.90402621722846	0.043212905933305984	2	COMPLETE
3	0.08380149812734082	2020-03-07 01:36:54.156736	2020-03-07 01:37:16.173601	128	2	0.005236032778954378	0.09033063153132825	256	0.52926282642043	1.0232034514183772	0.0	0.08380149812734082	0.017790262172284643	0.035580524344569285	49.39559925093633	0.040847450913858864	0.0	0.08380149812734082	0.017790262172284643	0.035580524344569285	49.39559925093633	0.040847450913858864	2460458764	150.0	0.0	0.08380149812734082	0.017790262172284643	0.035580524344569285	49.39559925093633	0.040847450913858864	3	COMPLETE
4	0.09925093632958802	2020-03-07 01:37:16.185350	2020-03-07 01:37:47.685191	256	2	0.005684824565909895	0.11337387157542425	128	0.10493639352824943	0.9848649066851967	0.0	0.09925093632958802	0.02294007490636704	0.047752808988764044	47.552434456928836	0.045535545815459814	0.0	0.09925093632958802	0.02294007490636704	0.047752808988764044	47.552434456928836	0.045535545815459814	4139776661	150.0	0.0	0.09925093632958802	0.02294007490636704	0.047752808988764044	47.552434456928836	0.045535545815459814	4	COMPLETE
5	0.08848314606741572	2020-03-07 01:37:47.702992	2020-03-07 01:38:05.583277	256	2	0.07173506996960771	0.0449510712590397	512	0.006749548588736505	1.0354504177838648	0.0	0.08848314606741572	0.018726591760299626	0.03932584269662921	49.958333333333336	0.04128911177629024	0.0	0.08848314606741572	0.018726591760299626	0.03932584269662921	49.958333333333336	0.04128911177629024	3682180062	150.0	0.0	0.08848314606741572	0.018726591760299626	0.03932584269662921	49.958333333333336	0.04128911177629024	5	COMPLETE
6	0.09222846441947566	2020-03-07 01:38:05.595252	2020-03-07 01:38:27.971678	64	2	0.008859680943942	0.010500049633873399	256	0.0019385712902215278	0.9982220524283691	0.0	0.09222846441947566	0.02247191011235955	0.041666666666666664	48.090823970037455	0.04383663306450482	0.0	0.09222846441947566	0.02247191011235955	0.041666666666666664	48.090823970037455	0.04383663306450482	2072888933	150.0	0.0	0.09222846441947566	0.02247191011235955	0.041666666666666664	48.090823970037455	0.04383663306450482	6	COMPLETE
7	0.09176029962546817	2020-03-07 01:38:27.983735	2020-03-07 01:38:50.405739	64	1	0.014360816084506567	0.0820406144136308	256	0.01058735015036349	1.0299159460334797	0.0	0.09176029962546817	0.023408239700374533	0.040262172284644196	49.63998127340824	0.04353308203581167	0.0	0.09176029962546817	0.023408239700374533	0.040262172284644196	49.63998127340824	0.04353308203581167	2976779320	150.0	0.0	0.09176029962546817	0.023408239700374533	0.040262172284644196	49.63998127340824	0.04353308203581167	7	COMPLETE
8	0.09784644194756555	2020-03-07 01:38:50.417846	2020-03-07 01:39:12.711462	128	2	0.0735323499290963	0.01223834133511799	256	0.052831286447903233	1.0100595516341038	0.0	0.09784644194756555	0.01638576779026217	0.03651685393258427	48.75187265917603	0.042215620131200386	0.0	0.09784644194756555	0.01638576779026217	0.03651685393258427	48.75187265917603	0.042215620131200386	3744896067	150.0	0.0	0.09784644194756555	0.01638576779026217	0.03651685393258427	48.75187265917603	0.042215620131200386	8	COMPLETE
9	0.09831460674157304	2020-03-07 01:39:12.723256	2020-03-07 01:40:18.143650	64	2	0.02979329205614118	0.02421729984713121	256	0.2553998649445715	0.999442257798078	0.0056179775280898875	0.09831460674157304	0.02855805243445693	0.05290262172284644	48.293305243445694	0.04998412127110807	0.0056179775280898875	0.09831460674157304	0.02855805243445693	0.05290262172284644	48.29307116104869	0.04998443653359561	296452695	350.0	0.0056179775280898875	0.09831460674157304	0.02855805243445693	0.05290262172284644	48.293539325842694	0.04998381726799508	9	COMPLETE
