number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	model.relation_dim	negative_sampler.num_negs_per_pos	optimizer.lr	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	201	251	301	351	401	451	501
0	TrialState.COMPLETE	0.019202292042235385	2020-01-16 15:31:43.087467	2020-01-16 17:05:36.738421	8.14719739561823	250.0	350.0	46.0	0.0019345364039145424	1000.0	0.8839261580717105	0.000708215297450425	0.019202292042235385	0.011685552407932011	0.014695467422096316	17919.48714750193	0.008012336078231843	0.000708215297450425	0.019202292042235385	0.011685552407932011	0.014695467422096316	17919.474021375227	0.008012337390617647	0.000708215297450425	0.019202292042235385	0.011685552407932011	0.014695467422096316	17919.500273628637	0.008012334771219683	0								0.01792178155492603	0.018626062322946176	
1	TrialState.COMPLETE	0.016744233104006474	2020-01-16 17:05:36.739565	2020-01-16 18:00:57.427492	7.202802800866043	450.0	50.0	6.0	0.009509803165752303	900.0	0.8249922890245119	0.005640428976123027	0.016744233104006474	0.01037029542695265	0.012697288547146903	16724.20210694051	0.009679759294677761	0.005640428976123027	0.016744233104006474	0.01037029542695265	0.012697288547146903	16724.18610886281	0.009679765647709426	0.005640428976123027	0.016744233104006474	0.01037029542695265	0.012697288547146903	16724.21810501821	0.009679753062025714	1				0.015793201133144474	0.016347969782813974					
2	TrialState.COMPLETE	0.011764242996537614	2020-01-16 18:00:57.428482	2020-01-16 18:53:51.799240	2.6685187188422246	50.0	250.0	1.0	0.02167802581289858	600.0	0.8167197301077819	0.0026754800125904942	0.011764242996537614	0.006767390620081838	0.00822316650928549	16556.840985993076	0.0061588700000541514	0.0026754800125904942	0.011764242996537614	0.006767390620081838	0.00822316650928549	16556.834159584512	0.0061588709125520065	0.0026754800125904942	0.011764242996537614	0.006767390620081838	0.00822316650928549	16556.847812401636	0.006158869090127496	2						0.010420882233913395	0.011176522662889519			
3	TrialState.COMPLETE	0.007554296506137866	2020-01-16 18:53:51.800306	2020-01-16 19:30:16.607980	3.1027839516629965	50.0	350.0	31.0	0.04348601879685347	700.0	0.7756527310893006	0.0018885741265344666	0.007554296506137866	0.004987016052880076	0.005813267233238904	15723.62910174693	0.004513873515035705	0.0018885741265344666	0.007554296506137866	0.004987016052880076	0.005813267233238904	15723.620278564684	0.004513879017763549	0.0018885741265344666	0.007554296506137866	0.004987016052880076	0.005813267233238904	15723.637924929179	0.004513868071798224	3			0.00681657223796034	0.007259206798866855						
4	TrialState.COMPLETE	0.009333265884257386	2020-01-16 19:30:16.609034	2020-01-16 20:16:57.890815	6.679591140919591	150.0	50.0	31.0	0.004567978103588368	800.0	0.883770517005682	0.004122824767300688	0.009333265884257386	0.006753338729259409	0.007613314447592068	17916.175245346014	0.006244256765663533	0.004122824767300688	0.009333265884257386	0.006753338729259409	0.007613314447592068	17916.168934641846	0.006244256946064207	0.004122824767300688	0.009333265884257386	0.006753338729259409	0.007613314447592068	17916.181556050182	0.006244256585382559	4				0.008746458923512748	0.00908876298394712					
5	TrialState.COMPLETE	0.0011508498583569404	2020-01-16 20:16:57.891861	2020-01-16 20:35:38.552905	4.449171027555353	50.0	450.0	21.0	0.0034190357573529624	700.0	0.97379989775007	0.000708215297450425	0.0011508498583569404	0.000708215297450425	0.0008852691218130312	19741.713062145893	0.0010364609304664755	0.000708215297450425	0.0011508498583569404	0.000708215297450425	0.0008852691218130312	19741.70516111898	0.0010364610047339312	0.000708215297450425	0.0011508498583569404	0.000708215297450425	0.0008852691218130312	19741.720963172804	0.0010364608562241722	5	0.0010623229461756375	0.0011213408876298394								
6	TrialState.COMPLETE	0.025369283690813437	2020-01-16 20:35:38.554024	2020-01-16 21:31:53.061179	8.733392474202208	450.0	350.0	1.0	0.00578784073347722	500.0	0.8013915505440442	0.005185147713476325	0.025369283690813437	0.012671995143666532	0.017098340752731686	16245.441736645083	0.011875129853283432	0.005185147713476325	0.025369283690813437	0.012671995143666532	0.017098340752731686	16245.430114326184	0.011875130068170304	0.005185147713476325	0.025369283690813437	0.012671995143666532	0.017098340752731686	16245.453358963981	0.011875129638544493	6				0.024610481586402267	0.025053116147308784					
7	TrialState.COMPLETE	0.02331208687440982	2020-01-16 21:31:53.062267	2020-01-16 22:52:29.782673	7.682103229762087	350.0	350.0	26.0	0.0036682474652049183	500.0	0.8364207071170953	0.0013967579477494492	0.02331208687440982	0.01251180358829084	0.0169971671388102	16955.771659584512	0.009546782238247313	0.0013967579477494492	0.02331208687440982	0.01251180358829084	0.0169971671388102	16955.75828218445	0.009546782898845845	0.0013967579477494492	0.02331208687440982	0.01251180358829084	0.0169971671388102	16955.785036984576	0.009546781579415195	7						0.022587009307972482	0.022994865439093484			
8	TrialState.COMPLETE	0.014695467422096316	2020-01-16 22:52:29.783681	2020-01-16 23:59:41.217195	4.1994759016331855	150.0	450.0	31.0	0.0033635922395425736	500.0	0.8661388042710175	0.0010033050047214354	0.014695467422096316	0.01024944916587976	0.011882278879446019	17558.700306893297	0.00690355077748412	0.0010033050047214354	0.014695467422096316	0.01024944916587976	0.011882278879446019	17558.69102140384	0.006903551006865868	0.0010033050047214354	0.014695467422096316	0.01024944916587976	0.011882278879446019	17558.70959238275	0.006903550548286752	8						0.013127276406313233	0.014009383852691218			
9	TrialState.COMPLETE	0.016377478753541078	2020-01-16 23:59:41.218240	2020-01-17 00:56:59.610706	3.351138601340818	150.0	50.0	36.0	0.022930249497703763	500.0	0.8097390535930895	0.0056435906515580735	0.016377478753541078	0.010313385269121813	0.012393767705382436	16414.43320644476	0.009534036659002001	0.0056435906515580735	0.016377478753541078	0.010313385269121813	0.012393767705382436	16414.426566926344	0.009534036957375374	0.0056435906515580735	0.016377478753541078	0.010313385269121813	0.012393767705382436	16414.439845963174	0.009534036360985931	9					0.015108593012275733	0.01583367057871307				
